BibliographyType,ISBN,Identifier,aut1,aut2,aut3,aut4,aut5,aut6,aut7,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,,Rinne:1994,"Rinne, Paivi"," Saarelainen, Annikki "," Junttila, Olavi",,,,,"Rinne, Paivi; Saarelainen, Annikki & Junttila, Olavi","Growth cessation and bud dormancy in relation to ABA level in seedlings and coppice shoots of Betula pubescens as affected by a short photoperiod, water stress and chilling",Physiologia Plantarum,90,3,,451--458,1994,,,,,,,,,Wiley Online Library,,,,,,,,,rinne94,,
7,,Ruesink:1998aa,"Ruesink, J. B.",,,,,,,"Ruesink, J. B.",Long day treatment prevents flower bud formation in Pieris,Gartenbauwissenschaft (Germany),,,,,1998,,,,,,,,,,,,,,,,,,ruesink98,,
7,,Sogaard:2008aa,"Sogaard, Gunnhild"," Johnsen, Oystein"," Nilsen, Jarle "," Junttila, Olavi",,,,"Sogaard, Gunnhild; Johnsen, Oystein; Nilsen, Jarle & Junttila, Olavi",Climatic control of bud burst in young seedlings of nine provenances of Norway spruce,Tree Physiology,28,2,,311-320,2008,,,http://treephys.oxfordjournals.org/content/28/2/311.full.pdf,,,,,,,,,,,,,,,sogaard08,,
7,,Sonsteby:2013aa,"Sonsteby, A. "," Heide, O. M.",,,,,,"Sonsteby, A. & Heide, O. M.",Variation in seasonal timing of flower bud initiation in black currant (Ribes nigrum L.) cultivars of contrasting geographic origin,The Journal of Horticultural Science and Biotechnology,88,4,,403--408,2013,,,,,,,,,Taylor \& Francis,,,,,,,,,sonsteby13,,
7,,Sonsteby:2014aa,"Sonsteby, Anita "," Heide, Ola M.",,,,,,"Sonsteby, Anita & Heide, Ola M.",Chilling requirements of contrasting black currant (Ribes nigrum L.) cultivars and the induction of secondary bud dormancy,Scientia Horticulturae,179,,,256--265,2014,,,,,,,,,Elsevier,,,,,,,,,sonsteby14,,
7,,Sonsteby:2006aa,"Sonsteby, Anita "," Heide, Ola M.",,,,,,"Sonsteby, Anita & Heide, Ola M.",Dormancy relations and flowering of the strawberry cultivars Korona and Elsanta as influenced by photoperiod and temperature,Scientia Horticulturae,110,1,,57--67,2006,,,,,,,,,Elsevier,,,,,,,,,sonsteby06,,
7,,Sonsteby:2009aa,"Sonsteby, Anita"," Opstad, Nina"," Myrheim, Unni "," Heide, Ola M.",,,,"Sonsteby, Anita; Opstad, Nina; Myrheim, Unni & Heide, Ola M.",Interaction of short day and timing of nitrogen fertilization on growth and flowering of `Korona'strawberry (Fragaria$\times$ ananassa Duch.),Scientia horticulturae,123,2,,204--209,2009,,,,,,,,,Elsevier,,,,,,,,,,,
7,,Sanz-Perez:2010aa,"Sanz-Perez, Virginia "," Castro-D\iez, Pilar",,,,,,"Sanz-Perez, Virginia & Castro-D\iez, Pilar",Summer water stress and shade alter bud size and budburst date in three Mediterranean Quercus species,Trees,24,1,,89--97,2010,,,,,,,,,Springer,,,,,,,,,sanzperez10,,
7,,Sanz-Perez:2009aa,"Sanz-Perez, V."," Castro-Diez, P. "," Valladares, F.",,,,,"Sanz-Perez, V.; Castro-Diez, P. & Valladares, F.",Differential and interactive effects of temperature and photoperiod on budburst and carbon reserves in two co-occurring Mediterranean oaks,Plant Biol (Stuttg),11,2,,142-51,2009,,,http://www.ncbi.nlm.nih.gov/pubmed/19228321,,,,,,,,,,,,,,,sanzperez09,,
7,,Schnabel:1987aa,"Schnabel, Barbara J. "," Wample, Robert L.",,,,,,"Schnabel, Barbara J. & Wample, Robert L.",Dormancy and cold hardiness in Vitis vinifera L. cv. White Riesling as influenced by photoperiod and temperature,American Journal of Enology and Viticulture,38,4,,265--272,1987,,,,,,,,,Am Soc Enol Viticulture,,,,,,,,,schnabel87,,
7,,Skre:2008aa,"Skre, Oddvar"," Taulavuori, Kari"," Taulavuori, Erja"," Nilsen, Jarle"," Igeland, Bernt "," Laine, Kari",,"Skre, Oddvar; Taulavuori, Kari; Taulavuori, Erja; Nilsen, Jarle; Igeland, Bernt & Laine, Kari",The importance of hardening and winter temperature for growth in mountain birch populations,Environmental and experimental botany,62,3,,254--266,2008,,,,,,,,,Elsevier,,,,,,,,,skre08,,
7,,Skuterud:1994aa,"Skuterud, Roar"," Dietrichson, Jon ", others,,,,,"Skuterud, Roar; Dietrichson, Jon & others",Budburst in detached birch shoots (Betula pendula) of different varieties winter-stored in darkness at three different temperatures.,,,,,,1994,,,,,,,,,The Finnish Society of Forest Science and The Finnish Forest Research Institute,,,,,,,,,skuterud94,,
7,,Smeets:1982aa,"Smeets, L.",,,,,,,"Smeets, L.",Effect of chilling on runner formation and flower initiation in the everbearing strawberry,Scientia Horticulturae,17,1,,43--48,1982,,,,,,,,,Elsevier,,,,,,,,,smeets82,,
7,,Smeets:1980aa,"Smeets, L.",,,,,,,"Smeets, L.",Effect of temperature and daylength on flower initiation and runner formation in two everbearing strawberry cultivars,Scientia Horticulturae,12,1,,19--26,1980,,,,,,,,,Elsevier,,,,,,,,,smeets80,,
7,,Spann:2004aa,"Spann, Timothy M."," Williamson, Jeffrey G. "," Darnell, Rebecca L.",,,,,"Spann, Timothy M.; Williamson, Jeffrey G. & Darnell, Rebecca L.",Photoperiod and temperature effects on growth and carbohydrate storage in southern highbush blueberry interspecific hybrid,Journal of the American Society for Horticultural Science,129,3,,294--298,2004,,,,,,,,,American Society for Horticultural Science,,,,,,,,,spann04,,
7,,Spiers:1974aa,"Spiers, J. M. "," Draper, A. D.",,,,,,"Spiers, J. M. & Draper, A. D.",Effect of chilling on bud break in rabbiteye blueberry [Cultivars].,Journal American Society for Horticultural Science,,,,,1974,,,,,,,,,,,,,,,,,,spiers74,,
6,,Swartz:1981aa,"Swartz, H. J. "," Powell Jr, L. E.",,,,,,"Swartz, H. J. & Powell Jr, L. E.",The effect of long chilling requirement on time of bud break in apple,,,,,173--178,1981,,,,Symposium on Growth Regulators in Fruit Production 120,,,,,,,,,,,,,,swartz81,,
7,,Takimoto:1964aa,"Takimoto, Atsushi "," Hamner, Karl C.",,,,,,"Takimoto, Atsushi & Hamner, Karl C.",Effect of temperature and preconditioning on photoperiodic response of Pharbitis nil,Plant physiology,39,6,,1024,1964,,,,,,,,,American Society of Plant Biologists,,,,,,,,,takimoto64,,
7,,Thielges:1976aa,"Thielges, B. A. "," Beck, R. C.",,,,,,"Thielges, B. A. & Beck, R. C.",Control of bud break and its inheritance in Populus deltoides,Tree Physiology and Yield Improvement,,,,,1976,,,,,,,,,,,,,,,,,,thielges75,,
7,,Verheul:2007aa,"Verheul, Michel J."," Sonsteby, Anita "," Grimstad, Svein O.",,,,,"Verheul, Michel J.; Sonsteby, Anita & Grimstad, Svein O.","Influences of day and night temperatures on flowering of Fragaria x ananassa Duch., cvs. Korona and Elsanta, at different photoperiods",Scientia horticulturae,112,2,,200--206,2007,,,,,,,,,Elsevier,,,,,,,,,verheul07,,
7,,Vihera-Aarnio:2006aa,"Vihera-Aarnio,  Anneli"," Hakkinen,  Risto "," Junttila, Olavi",,,,,"Vihera-Aarnio,  Anneli; Hakkinen,  Risto & Junttila, Olavi",Critical night length for bud set and its variation in two photoperiodic ecotypes of Betula pendula,Tree physiology,26,8,,1013--1018,2006,,,,,,,,,Oxford University Press,,,,,,,,,viheraaarnio06,,
7,,Webb:1977,"Webb, D.  Paul",,,,,,,"Webb, D.  Paul","Root regeneration and bud dormancy of sugar maple, silver maple, and white ash seedlings: effects of chilling",Forest Science,23,4,,474--483,1977,,,,,,,,,Society of American Foresters,,,,,,,,,webb78,,
7,,Worrall:1967aa,"Worrall, John "," Mergen, Franccois",,,,,,"Worrall, John & Mergen, Franccois",Environmental and genetic control of dormancy in Picea abies,Physiologia Plantarum,20,3,,733--745,1967,,,,,,,,,Wiley Online Library,,,,,,,,,worrall67,,
9,,Yazdaniha:1967aa,"Yazdaniha, Ataollah",,,,,,,"Yazdaniha, Ataollah","Effects of Chilling, Chemicals and Pruning on the Rest Period of Peach Trees",,,,,,1967,http://digitalcommons.usu.edu/etd/3596,,,,,,,,,,,Utah State University,,Utah State University,,,,yazdaniha64,,
