year,tree.id,species,bb.doy,l75.doy,fbb.doy,fopn.doy
1998,BEAL-03,BEAL,122,137,122,122
1999,BEAL-03,BEAL,126,139,NA,NA
2000,BEAL-03,BEAL,128,145,128,128
2001,BEAL-03,BEAL,124,140,NA,NA
2002,BEAL-03,BEAL,129,148,NA,NA
2003,BEAL-03,BEAL,133,150,127,129
2004,BEAL-03,BEAL,123,138,NA,NA
2005,BEAL-03,BEAL,132,156,119,126
2006,BEAL-03,BEAL,129,150,126,127
2007,BEAL-03,BEAL,129,146,NA,NA
2008,BEAL-03,BEAL,130,149,116,118
2009,BEAL-03,BEAL,123,142,119,120
2010,BEAL-03,BEAL,117,135,112,116
2011,BEAL-03,BEAL,129,144,120,121
2012,BEAL-03,BEAL,126,141,NA,NA
2013,BEAL-03,BEAL,128,144,NA,NA
2014,BEAL-03,BEAL,135,152,130,130
2015,BEAL-03,BEAL,128,145,NA,NA
2016,BEAL-03,BEAL,133,149,122,128
2017,BEAL-03,BEAL,123,144,118,118
2018,BEAL-03,BEAL,130,145,NA,NA
2019,BEAL-03,BEAL,134,147,122,126
2020,BEAL-03,BEAL,137,152,NA,NA
2021,BEAL-03,BEAL,130,146,120,120
1990,BELE-01,BELE,118,147,NA,NA
1991,BELE-01,BELE,119,137,124,129
1992,BELE-01,BELE,134,150,144,145
1993,BELE-01,BELE,113,135,NA,NA
1994,BELE-01,BELE,127,143,134,135
1995,BELE-01,BELE,130,142,126,126
1996,BELE-01,BELE,115,147,119,NA
1997,BELE-01,BELE,132,151,138,144
1998,BELE-01,BELE,121,138,122,122
1999,BELE-01,BELE,127,139,NA,NA
2000,BELE-01,BELE,128,141,128,128
2001,BELE-01,BELE,124,138,NA,NA
2002,BELE-01,BELE,127,NA,112,113
2003,BELE-01,BELE,137,NA,127,134
2004,BELE-01,BELE,125,NA,NA,NA
2005,BELE-01,BELE,135,NA,NA,NA
2006,BELE-01,BELE,127,NA,NA,NA
2007,BELE-01,BELE,129,NA,NA,NA
2008,BELE-01,BELE,131,NA,NA,NA
2009,BELE-01,BELE,123,NA,NA,NA
2010,BELE-01,BELE,122,NA,NA,NA
2011,BELE-01,BELE,131,NA,NA,NA
2012,BELE-01,BELE,125,NA,NA,NA
2013,BELE-01,BELE,128,NA,NA,NA
2014,BELE-01,BELE,137,NA,NA,NA
2015,BELE-01,BELE,129,NA,NA,NA
2016,BELE-01,BELE,133,NA,NA,NA
2017,BELE-01,BELE,130,NA,NA,NA
2018,BELE-01,BELE,130,NA,NA,NA
2019,BELE-01,BELE,136,NA,NA,NA
2020,BELE-01,BELE,137,NA,NA,NA
2021,BELE-01,BELE,133,NA,NA,NA
1990,BELE-02,BELE,131,155,NA,NA
1991,BELE-02,BELE,130,137,NA,NA
1992,BELE-02,BELE,138,150,NA,NA
1993,BELE-02,BELE,123,146,NA,NA
1994,BELE-02,BELE,133,146,NA,NA
1995,BELE-02,BELE,134,147,134,134
1996,BELE-02,BELE,126,147,NA,NA
1997,BELE-02,BELE,136,152,NA,NA
1998,BELE-02,BELE,122,137,NA,NA
1999,BELE-02,BELE,129,140,NA,NA
2000,BELE-02,BELE,131,154,NA,NA
2001,BELE-02,BELE,124,141,NA,NA
2002,BELE-02,BELE,132,NA,NA,NA
2003,BELE-02,BELE,139,NA,NA,NA
2004,BELE-02,BELE,129,NA,NA,NA
2005,BELE-02,BELE,140,NA,150,NA
2006,BELE-02,BELE,137,NA,NA,NA
2007,BELE-02,BELE,130,NA,NA,NA
2008,BELE-02,BELE,135,NA,NA,NA
2009,BELE-02,BELE,126,NA,NA,NA
2010,BELE-02,BELE,122,NA,NA,NA
2011,BELE-02,BELE,132,NA,NA,NA
2012,BELE-02,BELE,126,NA,NA,NA
2013,BELE-02,BELE,128,NA,NA,NA
2014,BELE-02,BELE,138,NA,NA,NA
2015,BELE-02,BELE,129,NA,NA,NA
2016,BELE-02,BELE,135,NA,NA,NA
2017,BELE-02,BELE,134,NA,NA,NA
2018,BELE-02,BELE,131,NA,NA,NA
2019,BELE-02,BELE,138,NA,NA,NA
2020,BELE-02,BELE,139,NA,NA,NA
2021,BELE-02,BELE,136,NA,NA,NA
1990,BELE-03,BELE,124,154,NA,NA
1991,BELE-03,BELE,119,139,NA,NA
1992,BELE-03,BELE,138,150,NA,NA
1993,BELE-03,BELE,116,146,NA,NA
1994,BELE-03,BELE,133,146,134,135
1995,BELE-03,BELE,130,145,NA,NA
1996,BELE-03,BELE,120,147,NA,NA
1997,BELE-03,BELE,131,151,NA,NA
1998,BELE-03,BELE,125,138,122,122
1999,BELE-03,BELE,126,143,NA,NA
2000,BELE-03,BELE,134,146,128,128
2001,BELE-03,BELE,124,145,NA,NA
2002,BELE-03,BELE,131,NA,NA,NA
2003,BELE-03,BELE,139,NA,132,137
2004,BELE-03,BELE,128,NA,NA,NA
2005,BELE-03,BELE,138,NA,NA,NA
2006,BELE-03,BELE,137,NA,NA,NA
2007,BELE-03,BELE,130,NA,NA,NA
2008,BELE-03,BELE,133,NA,NA,NA
2009,BELE-03,BELE,125,NA,NA,NA
2010,BELE-03,BELE,121,NA,NA,NA
2011,BELE-03,BELE,133,NA,NA,NA
2012,BELE-03,BELE,125,NA,NA,NA
2013,BELE-03,BELE,129,NA,NA,NA
2014,BELE-03,BELE,138,NA,NA,NA
2015,BELE-03,BELE,130,NA,NA,NA
2016,BELE-03,BELE,136,NA,NA,NA
2017,BELE-03,BELE,136,NA,NA,NA
2018,BELE-03,BELE,130,NA,NA,NA
2019,BELE-03,BELE,137,NA,NA,NA
2020,BELE-03,BELE,138,NA,NA,NA
2021,BELE-03,BELE,136,NA,NA,NA
1990,BEPA-01,BEPA,124,143,NA,NA
1991,BEPA-01,BEPA,119,150,135,135
1992,BEPA-01,BEPA,134,183,144,145
1993,BEPA-01,BEPA,116,146,NA,NA
1994,BEPA-01,BEPA,127,141,134,135
1995,BEPA-01,BEPA,130,145,134,134
1996,BEPA-01,BEPA,119,141,114,NA
1997,BEPA-01,BEPA,134,151,134,144
1998,BEPA-01,BEPA,122,137,122,122
1999,BEPA-01,BEPA,126,139,NA,NA
2000,BEPA-01,BEPA,127,145,124,124
2001,BEPA-01,BEPA,123,135,NA,NA
2002,BEPA-01,BEPA,126,NA,112,113
2003,BEPA-01,BEPA,127,NA,123,127
2004,BEPA-01,BEPA,123,NA,NA,NA
2005,BEPA-01,BEPA,132,NA,NA,NA
2006,BEPA-01,BEPA,129,NA,NA,NA
2007,BEPA-01,BEPA,129,NA,NA,NA
2008,BEPA-01,BEPA,128,NA,NA,NA
2009,BEPA-01,BEPA,120,NA,NA,NA
2010,BEPA-01,BEPA,115,NA,NA,NA
2011,BEPA-01,BEPA,128,NA,NA,NA
2012,BEPA-01,BEPA,124,NA,NA,NA
2013,BEPA-01,BEPA,126,NA,NA,NA
2014,BEPA-01,BEPA,136,NA,NA,NA
2015,BEPA-01,BEPA,128,NA,NA,NA
2016,BEPA-01,BEPA,133,NA,NA,NA
2017,BEPA-01,BEPA,123,NA,NA,NA
1990,BEPA-02,BEPA,118,140,NA,NA
1991,BEPA-02,BEPA,119,129,124,129
1992,BEPA-02,BEPA,131,149,NA,NA
1993,BEPA-02,BEPA,114,138,NA,NA
1994,BEPA-02,BEPA,122,139,134,135
1995,BEPA-02,BEPA,126,140,139,139
1996,BEPA-02,BEPA,115,141,NA,NA
1997,BEPA-02,BEPA,132,146,NA,NA
1998,BEPA-02,BEPA,118,134,126,126
1999,BEPA-02,BEPA,125,138,NA,NA
2000,BEPA-02,BEPA,124,145,NA,NA
2001,BEPA-02,BEPA,121,133,NA,NA
2002,BEPA-02,BEPA,112,NA,108,109
2003,BEPA-02,BEPA,125,NA,123,NA
2004,BEPA-02,BEPA,120,NA,NA,NA
2005,BEPA-02,BEPA,122,NA,NA,NA
2006,BEPA-02,BEPA,124,NA,NA,NA
2007,BEPA-02,BEPA,125,NA,NA,NA
2008,BEPA-02,BEPA,124,NA,NA,NA
2009,BEPA-02,BEPA,119,NA,NA,NA
2010,BEPA-02,BEPA,107,NA,NA,NA
2011,BEPA-02,BEPA,124,NA,NA,NA
2012,BEPA-02,BEPA,112,NA,NA,NA
2013,BEPA-02,BEPA,126,NA,NA,NA
2014,BEPA-02,BEPA,135,NA,NA,NA
2015,BEPA-02,BEPA,129,NA,NA,NA
2016,BEPA-02,BEPA,133,NA,NA,NA
1990,BEPA-03,BEPA,118,141,132,133
1991,BEPA-03,BEPA,119,130,128,129
1992,BEPA-03,BEPA,131,166,NA,NA
1993,BEPA-03,BEPA,117,138,NA,NA
1994,BEPA-03,BEPA,118,138,134,135
1995,BEPA-03,BEPA,126,140,NA,NA
1996,BEPA-03,BEPA,115,141,NA,NA
1997,BEPA-03,BEPA,131,147,NA,NA
1998,BEPA-03,BEPA,113,132,122,122
1999,BEPA-03,BEPA,120,139,NA,NA
2000,BEPA-03,BEPA,124,143,NA,NA
2001,BEPA-03,BEPA,120,134,NA,NA
2002,BEPA-03,BEPA,109,NA,NA,NA
2003,BEPA-03,BEPA,124,NA,NA,NA
2004,BEPA-03,BEPA,120,NA,NA,NA
2005,BEPA-03,BEPA,125,NA,NA,NA
2006,BEPA-03,BEPA,126,NA,NA,NA
2007,BEPA-03,BEPA,127,NA,NA,NA
2008,BEPA-03,BEPA,125,NA,NA,NA
2009,BEPA-03,BEPA,119,NA,NA,NA
2010,BEPA-03,BEPA,108,NA,NA,NA
2011,BEPA-03,BEPA,123,NA,NA,NA
2012,BEPA-03,BEPA,113,NA,NA,NA
2013,BEPA-03,BEPA,125,NA,NA,NA
1991,BEPA-04,BEPA,119,132,124,129
1992,BEPA-04,BEPA,131,166,144,145
1993,BEPA-04,BEPA,117,138,NA,NA
1994,BEPA-04,BEPA,122,142,134,135
1995,BEPA-04,BEPA,126,144,130,130
1996,BEPA-04,BEPA,116,143,102,132
1997,BEPA-04,BEPA,132,148,134,139
1998,BEPA-04,BEPA,120,139,122,112
1999,BEPA-04,BEPA,125,139,125,NA
2000,BEPA-04,BEPA,125,146,124,125
2001,BEPA-04,BEPA,121,135,NA,NA
2002,BEPA-04,BEPA,111,NA,108,108
2003,BEPA-04,BEPA,124,NA,120,124
2004,BEPA-04,BEPA,120,NA,NA,NA
2005,BEPA-04,BEPA,127,NA,NA,NA
2006,BEPA-04,BEPA,123,NA,NA,NA
2007,BEPA-04,BEPA,126,NA,NA,NA
2008,BEPA-04,BEPA,121,NA,NA,NA
2009,BEPA-04,BEPA,118,NA,NA,NA
2010,BEPA-04,BEPA,108,NA,NA,NA
2011,BEPA-04,BEPA,126,NA,NA,NA
2012,BEPA-04,BEPA,115,NA,NA,NA
2013,BEPA-05,BEPA,124,NA,NA,NA
2014,BEPA-05,BEPA,130,NA,NA,NA
2015,BEPA-05,BEPA,126,NA,NA,NA
2016,BEPA-05,BEPA,129,NA,NA,NA
2017,BEPA-05,BEPA,119,NA,NA,NA
2018,BEPA-05,BEPA,126,NA,NA,NA
2019,BEPA-05,BEPA,128,NA,NA,NA
2020,BEPA-05,BEPA,135,NA,NA,NA
2021,BEPA-05,BEPA,123,NA,NA,NA
2014,BEPA-06,BEPA,134,NA,NA,NA
2015,BEPA-06,BEPA,129,NA,NA,NA
2016,BEPA-06,BEPA,133,NA,NA,NA
2017,BEPA-06,BEPA,129,NA,NA,NA
2018,BEPA-06,BEPA,129,NA,NA,NA
2019,BEPA-06,BEPA,134,NA,NA,NA
2020,BEPA-06,BEPA,137,NA,NA,NA
2021,BEPA-06,BEPA,132,NA,NA,NA
2017,BEPA-07,BEPA,120,NA,NA,NA
2018,BEPA-07,BEPA,126,NA,NA,NA
2019,BEPA-07,BEPA,129,NA,NA,NA
2020,BEPA-07,BEPA,131,NA,NA,NA
2021,BEPA-07,BEPA,125,NA,NA,NA
2018,BEPA-08,BEPA,126,NA,NA,NA
2019,BEPA-08,BEPA,129,NA,NA,NA
2020,BEPA-08,BEPA,137,NA,NA,NA
2021,BEPA-08,BEPA,126,NA,NA,NA
1990,BEPO-01,BEPO,124,146,129,129
1991,BEPO-01,BEPO,116,133,128,129
1992,BEPO-01,BEPO,134,149,144,145
1993,BEPO-01,BEPO,116,142,134,134
1994,BEPO-01,BEPO,122,147,134,135
1995,BEPO-01,BEPO,126,145,130,134
1996,BEPO-01,BEPO,115,147,136,NA
1997,BEPO-01,BEPO,134,152,NA,NA
1998,BEPO-01,BEPO,114,139,122,122
1999,BEPO-01,BEPO,125,143,NA,NA
2000,BEPO-01,BEPO,127,141,NA,NA
2001,BEPO-01,BEPO,123,137,NA,NA
1990,BEPO-02,BEPO,129,145,141,141
1991,BEPO-02,BEPO,125,142,135,135
1992,BEPO-02,BEPO,138,184,144,145
1993,BEPO-02,BEPO,123,142,NA,NA
1994,BEPO-02,BEPO,135,143,134,135
1995,BEPO-02,BEPO,135,145,139,139
1996,BEPO-02,BEPO,119,147,132,132
1997,BEPO-02,BEPO,137,153,138,144
1998,BEPO-02,BEPO,122,139,126,126
1999,BEPO-02,BEPO,129,141,129,129
2000,BEPO-02,BEPO,128,142,130,131
2001,BEPO-02,BEPO,124,143,NA,NA
1990,BEPO-03,BEPO,128,149,132,138
1991,BEPO-03,BEPO,129,136,132,132
1992,BEPO-03,BEPO,138,157,141,141
1993,BEPO-03,BEPO,117,142,NA,NA
1994,BEPO-03,BEPO,129,146,134,135
1995,BEPO-03,BEPO,131,145,134,134
1996,BEPO-03,BEPO,119,145,102,136
1997,BEPO-03,BEPO,136,152,NA,NA
1998,BEPO-03,BEPO,122,138,126,126
1999,BEPO-03,BEPO,129,144,NA,NA
2000,BEPO-03,BEPO,128,156,128,129
2001,BEPO-03,BEPO,124,139,NA,NA
1990,BEPO-04,BEPO,124,145,126,133
1991,BEPO-04,BEPO,119,139,124,132
1992,BEPO-04,BEPO,137,156,141,141
1993,BEPO-04,BEPO,117,142,NA,NA
1994,BEPO-04,BEPO,127,142,134,145
1995,BEPO-04,BEPO,130,145,134,134
1996,BEPO-04,BEPO,115,147,102,126
1997,BEPO-04,BEPO,135,152,134,144
1998,BEPO-04,BEPO,122,137,122,122
1999,BEPO-04,BEPO,126,145,132,NA
2000,BEPO-04,BEPO,127,146,128,128
2001,BEPO-04,BEPO,123,138,NA,NA
1990,CADE-01,CADE,126,163,NA,NA
1991,CADE-01,CADE,120,148,NA,NA
1992,CADE-01,CADE,134,172,NA,NA
1993,CADE-01,CADE,121,151,NA,NA
1994,CADE-01,CADE,127,156,NA,NA
1995,CADE-01,CADE,128,155,NA,NA
1996,CADE-01,CADE,126,159,NA,NA
1997,CADE-01,CADE,134,164,NA,NA
1998,CADE-01,CADE,121,145,NA,NA
1999,CADE-01,CADE,126,151,NA,NA
2000,CADE-01,CADE,128,159,NA,NA
2001,CADE-01,CADE,122,153,NA,NA
1990,CADE-02,CADE,128,168,NA,NA
1991,CADE-02,CADE,125,150,NA,NA
1992,CADE-02,CADE,134,157,NA,NA
1993,CADE-02,CADE,123,151,NA,NA
1994,CADE-02,CADE,135,156,NA,NA
1995,CADE-02,CADE,132,155,NA,NA
1996,CADE-02,CADE,133,164,NA,NA
1997,CADE-02,CADE,134,164,NA,NA
1998,CADE-02,CADE,121,153,NA,NA
2000,CADE-02,CADE,128,155,NA,NA
1990,CADE-03,CADE,131,162,NA,NA
1991,CADE-03,CADE,129,148,NA,NA
1992,CADE-03,CADE,138,168,NA,NA
1993,CADE-03,CADE,121,151,NA,NA
1994,CADE-03,CADE,135,160,NA,NA
1995,CADE-03,CADE,132,156,NA,NA
1996,CADE-03,CADE,132,166,NA,NA
1997,CADE-03,CADE,135,165,NA,NA
1998,CADE-03,CADE,124,153,NA,NA
1999,CADE-03,CADE,126,152,NA,NA
2000,CADE-03,CADE,129,159,NA,NA
2001,CADE-03,CADE,124,154,NA,NA
1999,CADE-04,CADE,126,150,NA,NA
2001,CADE-04,CADE,124,147,NA,NA
1991,COAL-01,COAL,109,132,142,143
1992,COAL-01,COAL,113,156,160,160
1993,COAL-01,COAL,109,151,150,150
1999,COAL-01,COAL,120,141,125,125
2000,COAL-01,COAL,119,141,NA,NA
2001,COAL-01,COAL,120,135,NA,NA
2002,COAL-01,COAL,107,NA,NA,NA
2003,COAL-01,COAL,120,NA,160,158
2004,COAL-01,COAL,115,NA,NA,NA
2005,COAL-01,COAL,112,NA,NA,NA
2006,COAL-01,COAL,112,NA,NA,NA
2007,COAL-01,COAL,124,NA,NA,NA
2008,COAL-01,COAL,NA,NA,NA,NA
1991,COAL-02,COAL,109,136,146,146
1992,COAL-02,COAL,120,160,NA,NA
1993,COAL-02,COAL,109,142,NA,NA
1994,COAL-02,COAL,115,138,162,155
1995,COAL-02,COAL,120,142,160,161
1996,COAL-02,COAL,115,147,NA,NA
1997,COAL-02,COAL,132,158,NA,NA
1991,COAL-03,COAL,109,150,146,146
1992,COAL-03,COAL,127,162,NA,NA
1993,COAL-03,COAL,113,143,160,161
1994,COAL-03,COAL,116,142,156,156
1995,COAL-03,COAL,121,142,154,164
1996,COAL-03,COAL,115,147,156,160
1997,COAL-03,COAL,126,151,164,166
1998,COAL-03,COAL,107,137,126,126
1999,COAL-03,COAL,120,138,150,151
2000,COAL-03,COAL,124,145,162,162
2001,COAL-03,COAL,120,136,153,160
2002,COAL-03,COAL,108,NA,NA,NA
2003,COAL-03,COAL,123,NA,160,163
2004,COAL-03,COAL,117,NA,NA,NA
2005,COAL-03,COAL,116,NA,NA,NA
2006,COAL-03,COAL,114,NA,NA,NA
2007,COAL-03,COAL,122,NA,NA,NA
2008,COAL-03,COAL,116,NA,NA,NA
2009,COAL-03,COAL,117,NA,NA,NA
2010,COAL-03,COAL,103,NA,NA,NA
2011,COAL-03,COAL,121,NA,NA,NA
2012,COAL-03,COAL,112,NA,NA,NA
2013,COAL-03,COAL,122,NA,NA,NA
2014,COAL-03,COAL,130,NA,NA,NA
1998,COAL-04,COAL,117,131,131,150
1999,COAL-04,COAL,120,138,NA,NA
2000,COAL-04,COAL,NA,NA,NA,NA
2001,COAL-04,COAL,150,150,NA,NA
2002,COAL-04,COAL,106,NA,NA,NA
2003,COAL-04,COAL,NA,NA,NA,NA
2004,COAL-04,COAL,NA,NA,NA,NA
2005,COAL-04,COAL,NA,NA,NA,NA
2006,COAL-04,COAL,NA,NA,NA,NA
2007,COAL-04,COAL,NA,NA,NA,NA
2008,COAL-04,COAL,NA,NA,NA,NA
2009,COAL-04,COAL,NA,NA,NA,NA
2010,COAL-04,COAL,NA,NA,NA,NA
2011,COAL-04,COAL,NA,NA,NA,NA
2012,COAL-04,COAL,NA,NA,NA,NA
2013,COAL-04,COAL,NA,NA,NA,NA
2014,COAL-04,COAL,NA,NA,NA,NA
2015,COAL-04,COAL,NA,NA,NA,NA
2016,COAL-04,COAL,NA,NA,NA,NA
2017,COAL-04,COAL,NA,NA,NA,NA
2018,COAL-04,COAL,NA,NA,NA,NA
2019,COAL-04,COAL,NA,NA,NA,NA
2020,COAL-04,COAL,NA,NA,NA,NA
2021,COAL-04,COAL,NA,NA,NA,NA
2009,COAL-05,COAL,116,NA,NA,NA
2010,COAL-05,COAL,95,NA,NA,NA
2011,COAL-05,COAL,118,NA,NA,NA
2012,COAL-05,COAL,107,NA,NA,NA
2013,COAL-05,COAL,120,NA,NA,NA
2014,COAL-05,COAL,125,NA,NA,NA
2015,COAL-05,COAL,120,NA,NA,NA
2016,COAL-05,COAL,118,NA,NA,NA
2017,COAL-05,COAL,116,NA,NA,NA
2018,COAL-05,COAL,125,NA,NA,NA
2019,COAL-05,COAL,122,NA,NA,NA
2020,COAL-05,COAL,136,NA,NA,NA
2021,COAL-05,COAL,NA,NA,NA,NA
2015,COAL-06,COAL,119,NA,NA,NA
2016,COAL-06,COAL,115,NA,NA,NA
2017,COAL-06,COAL,117,NA,NA,NA
2018,COAL-06,COAL,123,NA,NA,NA
2019,COAL-06,COAL,119,NA,NA,NA
2020,COAL-06,COAL,123,NA,NA,NA
2021,COAL-06,COAL,122,NA,NA,NA
1990,CRSP-01,CRSP,116,155,NA,NA
1991,CRSP-01,CRSP,111,139,NA,NA
1992,CRSP-01,CRSP,125,167,NA,NA
1993,CRSP-01,CRSP,118,151,NA,NA
1994,CRSP-01,CRSP,117,146,NA,NA
1995,CRSP-01,CRSP,120,144,NA,NA
1996,CRSP-01,CRSP,115,147,NA,NA
1997,CRSP-01,CRSP,123,151,NA,NA
1998,CRSP-01,CRSP,106,133,NA,NA
1999,CRSP-01,CRSP,120,139,NA,NA
2000,CRSP-01,CRSP,120,141,NA,NA
2001,CRSP-01,CRSP,124,135,NA,NA
2002,CRSP-01,CRSP,108,NA,NA,NA
2003,CRSP-01,CRSP,130,NA,NA,NA
2004,CRSP-01,CRSP,123,NA,NA,NA
2005,CRSP-01,CRSP,122,NA,NA,NA
2006,CRSP-01,CRSP,119,NA,NA,NA
2007,CRSP-01,CRSP,126,NA,NA,NA
2008,CRSP-01,CRSP,128,NA,NA,NA
2009,CRSP-01,CRSP,116,NA,NA,NA
2010,CRSP-01,CRSP,103,NA,NA,NA
2011,CRSP-01,CRSP,124,NA,NA,NA
2012,CRSP-01,CRSP,106,NA,NA,NA
2013,CRSP-01,CRSP,121,NA,NA,NA
2014,CRSP-01,CRSP,129,NA,NA,NA
2015,CRSP-01,CRSP,127,NA,NA,NA
2016,CRSP-01,CRSP,120,NA,NA,NA
2017,CRSP-01,CRSP,118,NA,NA,NA
2018,CRSP-01,CRSP,126,NA,NA,NA
2019,CRSP-01,CRSP,124,NA,NA,NA
2020,CRSP-01,CRSP,124,NA,NA,NA
2021,CRSP-01,CRSP,113,NA,NA,NA
1990,CRSP-02,CRSP,130,155,NA,NA
1991,CRSP-02,CRSP,124,150,NA,NA
1992,CRSP-02,CRSP,131,175,NA,NA
1993,CRSP-02,CRSP,116,151,NA,NA
1994,CRSP-02,CRSP,121,143,NA,NA
1995,CRSP-02,CRSP,126,145,NA,NA
1996,CRSP-02,CRSP,115,147,NA,NA
1997,CRSP-02,CRSP,127,151,NA,NA
1998,CRSP-02,CRSP,113,134,NA,NA
1999,CRSP-02,CRSP,124,139,NA,NA
2000,CRSP-02,CRSP,127,145,NA,NA
2001,CRSP-02,CRSP,123,138,NA,NA
2002,CRSP-02,CRSP,120,NA,NA,NA
2003,CRSP-02,CRSP,127,NA,144,145
2004,CRSP-02,CRSP,123,NA,NA,NA
2005,CRSP-02,CRSP,118,NA,NA,NA
2006,CRSP-02,CRSP,126,NA,NA,NA
2007,CRSP-02,CRSP,126,NA,NA,NA
2008,CRSP-02,CRSP,120,NA,NA,NA
2009,CRSP-02,CRSP,119,NA,NA,NA
2010,CRSP-02,CRSP,106,NA,NA,NA
2011,CRSP-02,CRSP,124,NA,NA,NA
2012,CRSP-02,CRSP,114,NA,NA,NA
2013,CRSP-02,CRSP,123,NA,NA,NA
2014,CRSP-02,CRSP,130,NA,NA,NA
2015,CRSP-02,CRSP,126,NA,NA,NA
2016,CRSP-02,CRSP,132,NA,NA,NA
2017,CRSP-02,CRSP,118,NA,NA,NA
2018,CRSP-02,CRSP,126,NA,NA,NA
2019,CRSP-02,CRSP,124,NA,NA,NA
2020,CRSP-02,CRSP,132,NA,NA,NA
2021,CRSP-02,CRSP,120,NA,NA,NA
1991,CRSP-03,CRSP,119,145,NA,NA
1992,CRSP-03,CRSP,134,157,NA,NA
1993,CRSP-03,CRSP,112,113,NA,NA
1994,CRSP-03,CRSP,121,146,NA,NA
1995,CRSP-03,CRSP,126,146,NA,NA
1996,CRSP-03,CRSP,125,150,NA,NA
1997,CRSP-03,CRSP,132,151,NA,NA
1998,CRSP-03,CRSP,117,138,NA,NA
1999,CRSP-03,CRSP,125,144,NA,NA
2000,CRSP-03,CRSP,128,146,NA,NA
2001,CRSP-03,CRSP,123,140,NA,NA
2002,CRSP-03,CRSP,126,NA,NA,NA
2003,CRSP-03,CRSP,128,NA,NA,NA
2004,CRSP-03,CRSP,124,NA,NA,NA
2005,CRSP-03,CRSP,128,NA,NA,NA
2006,CRSP-03,CRSP,125,NA,NA,NA
2007,CRSP-03,CRSP,127,NA,NA,NA
2008,CRSP-03,CRSP,126,NA,NA,NA
2009,CRSP-03,CRSP,119,NA,NA,NA
2010,CRSP-03,CRSP,112,NA,NA,NA
2011,CRSP-03,CRSP,126,NA,NA,NA
2012,CRSP-03,CRSP,116,NA,NA,NA
2013,CRSP-03,CRSP,124,NA,NA,NA
2014,CRSP-03,CRSP,130,NA,NA,NA
2015,CRSP-03,CRSP,128,NA,NA,NA
2016,CRSP-03,CRSP,130,NA,NA,NA
2017,CRSP-03,CRSP,120,NA,NA,NA
2018,CRSP-03,CRSP,126,NA,NA,NA
2019,CRSP-03,CRSP,126,NA,NA,NA
2020,CRSP-03,CRSP,134,NA,NA,NA
2021,CRSP-03,CRSP,121,NA,NA,NA
1990,FAGR-01,FAGR,134,145,NA,NA
1991,FAGR-01,FAGR,129,139,NA,NA
1992,FAGR-01,FAGR,138,147,NA,NA
1993,FAGR-01,FAGR,127,142,NA,NA
1994,FAGR-01,FAGR,135,144,NA,NA
1995,FAGR-01,FAGR,135,145,NA,NA
1996,FAGR-01,FAGR,138,147,NA,NA
1997,FAGR-01,FAGR,137,151,NA,NA
1998,FAGR-01,FAGR,124,139,NA,NA
1999,FAGR-01,FAGR,129,138,NA,NA
2000,FAGR-01,FAGR,130,140,NA,NA
2001,FAGR-01,FAGR,124,134,NA,NA
2002,FAGR-01,FAGR,130,NA,NA,NA
2003,FAGR-01,FAGR,137,NA,NA,NA
2004,FAGR-01,FAGR,129,NA,NA,NA
2005,FAGR-01,FAGR,135,NA,NA,NA
2006,FAGR-01,FAGR,138,150,NA,NA
2007,FAGR-01,FAGR,130,142,NA,NA
2008,FAGR-01,FAGR,131,146,NA,NA
2009,FAGR-01,FAGR,127,146,NA,NA
2010,FAGR-01,FAGR,122,135,NA,NA
2011,FAGR-01,FAGR,131,144,NA,NA
2012,FAGR-01,FAGR,132,141,NA,NA
2013,FAGR-01,FAGR,128,141,NA,NA
2014,FAGR-01,FAGR,137,148,NA,NA
2015,FAGR-01,FAGR,129,145,NA,NA
2016,FAGR-01,FAGR,137,149,NA,NA
2017,FAGR-01,FAGR,133,145,NA,NA
2018,FAGR-01,FAGR,133,144,NA,NA
2019,FAGR-01,FAGR,137,147,NA,NA
2020,FAGR-01,FAGR,137,152,NA,NA
2021,FAGR-01,FAGR,136,146,NA,NA
1990,FAGR-02,FAGR,128,138,NA,NA
1991,FAGR-02,FAGR,120,136,NA,NA
1992,FAGR-02,FAGR,131,147,NA,NA
1993,FAGR-02,FAGR,121,151,NA,NA
1994,FAGR-02,FAGR,127,140,NA,NA
1995,FAGR-02,FAGR,129,140,NA,NA
1996,FAGR-02,FAGR,127,141,NA,NA
1997,FAGR-02,FAGR,133,146,NA,NA
1998,FAGR-02,FAGR,121,133,178,179
1999,FAGR-02,FAGR,127,138,NA,NA
2000,FAGR-02,FAGR,128,143,NA,NA
2001,FAGR-02,FAGR,122,139,NA,NA
2002,FAGR-02,FAGR,123,NA,NA,NA
1990,FAGR-03,FAGR,130,143,NA,NA
1991,FAGR-03,FAGR,125,142,NA,NA
1992,FAGR-03,FAGR,134,150,NA,NA
1993,FAGR-03,FAGR,126,151,NA,NA
1994,FAGR-03,FAGR,127,142,NA,NA
1995,FAGR-03,FAGR,132,144,NA,NA
1996,FAGR-03,FAGR,132,141,NA,NA
1997,FAGR-03,FAGR,134,148,NA,NA
1998,FAGR-03,FAGR,122,142,NA,NA
1999,FAGR-03,FAGR,125,139,NA,NA
2000,FAGR-03,FAGR,128,151,NA,NA
2001,FAGR-03,FAGR,123,143,NA,NA
2002,FAGR-03,FAGR,123,NA,NA,NA
2003,FAGR-03,FAGR,132,NA,NA,NA
