datasetID,Filename,Author,Year,Title,Journal,Volume,Pages,AssignedTo,EnteredBy,ToDo,Notes,URL,Var,Status,BBCH,Woody,Spp,Measurement Notes
heide93b,Heide_1993_PhysPlant.pdf,Heide OM,1993,Daylength and thermal time responses of budbui^t during dormancy release in some northern deciduous trees,Physiologia Plantarum,88,531-540,EMW,,"Fig 2, Fig 3",Good photoperiod and temperature study.,,"daystobudburst, percentbudburst",k,m,y,Fagus sylvatica,Time of budburst was defined as the day when at least one bud on a cutting had reached stage 3 (green foliage showing). Percentage budburst refers to cuttings with at least one burst bud.
herter88,Herter_1988_ActaHort.pdf,,1988,,,,,,,,,,,n,copy,copy,copy,
howe95,Howe_1995_PhysPlant.pdf,"Howe G.T., Hackett W.P., Furnier G.R., Klevorn R.E.",1995,Photoperiodic responses of a northern and southern eeotype of black cottonwood,Physiologia Plantarum,93,695-708,EF,EF,,"Fig 1d, height growth",,"daystobudset, numberofnewleaves, elongation",k,m,y,Populus trichocarpa,
hunder92,Hunter_1992_JAppEcol.pdf,,1992,,,,,,,,"More about modeling, not much about observation.",,degreedaystobudburst,n,m,y,~20 tree spp.,
hurme13,Hurme_2013_CanJForRes.pdf,,2013,,,,,,,,"Study on budset, not budburst.",,"percentbudburst, percentplantswithbuds",n,n,y,Pinus sylvestris,
jacobs02,Jacobs_2002_JrnlHortSciBiotech.pdf,"Jacobs, J.N., Jacobs G., Cook N.C.",2002,Chilling period influences the progression of bud dormancy more than does chilling temperature in apple and pear shoots,J Hort Sci Biotech,77,333-339,DF,,Fig 1,"measured as rate to 50% budburst, would need to back-transform to actual days",,daysto50%budburst,m,m,u,"Pyrus communis, Malus domestica","During forcing, the shoots were checked three times a week for budburst, which was considered as the first visible signs of green expanding leaves, i.e. green tip. The rate of budburst was determined from the inverse of the time (d) for the occurrence of budburst (at least one bud per shoot) on four shoots per bundle, i.e. 1/(days to 50% budburst) (Cannell, 1989(. The number of days between the occurrence of budburst on the first and the fourth shoot in each bundle was calculated as an indication of the synchronization of budburst between shoots."
jensen96,Jensen_1996_Thesis.pdf,Jensen K.F.,1996,"Effects of temperature, photoperiod and provenance on the growth and development of Scotch pine seedlings",Thesis,,,DF,,,"Long thesis, can't quite locate figures, tables but looks very pertinent.",,––,k,m,y,Pinus sylvestris,
jeong13,Jeong_2013_GeophysRsrchLttrs.pdf,,2013,,,,,,,,"Paper is all about modeling predictions, no observational study.",,––,n,n,y,mixed,
johnsen05,Johnsen_2005_NewPhyt.pdf,,2005,,,,,,,,Paper might be more aabout budset than budburst.,,"budburstscore, elongation",m,m,y,Picea abies,
jung10,Jung_2010_HortEnvBiotech.pdf,,2010,,,,,,,,Not clear if this is just a flower species,,daystoflowering,m,y,y,Adonis amurensis,
junttila12,Junttila_2012_TreePhys.pdf,"Junttila, O., Hanninen H.",2012,The minimum temperature for budburst in Betula depends on the state of dormancy,Tree Physiology,32,337-345,EF,EF,,Outdoors with supplemental light.,,"daysto50%budburst, percentbudburs",k,y,y,"Betula pubescens, Betula pendula",
kalvans15,Kalvans_2015_IntrnlJrnBiomtrlgy.pdf,,2015,,,,,,,,"Test of a model fit, not good match.",,modelfit,n,n,y,"Betula pendula, Padus racemosa",
karlsson03,Karlsson_2003_Ecography.pdf,"Karlsson, Bylund H., Neivonen S., Heimo S., Tjus M.",2003,Climatic response of budburst in the mountain birch at two areas in northern Fennoscandia and possible responses to global change,Ecography,26,617-625,,TS?,,Growth chamber experiment.,,thermaltimetobudbreak,k,y,y,Mountain birch,"The date of budburst is defined as the day when the buds reach stadium B3 to B4 according to Fries (1919) i.e., when individual leaf laminae start to be visible and the forest canopy get a greenish colour at a distance."
kaye14,Kaye_2014_PlantEcol.pdf,,2014,,,,,,,,"Looks like some advanced water, irrigation treatment, may not be good fit.",,daystoleafunfolding,m,y,y,"Acer rubrum, Fraxinus americana, Liquidambar styraciflua, Quercus alba, Quercus rubra, Quercus velutina",
korner10,Korner_2010_Science.pdf,,2010,,,,,,,,Not an observational study.,,––,n,n,y,––,
kramer95,Kramer_1995_PlantCellEnv.pdf,,1995,,,,,,,,"Data not pertinent, temperature regiments too complex.",,daylengthondayofunfolding,n,n,y,"Betula pubescens, Fagus sylvatica, Picea abies, Tilia cordata, Populus canescens, Quercus robur, Larix decidua",
langheinrich93,Langheinrich_1993_Trees.pdf,Langheinrich U.,1993,Clonal variation in apical growth and content in vegetative storage proteins in Populus,Trees,7,242-249,DF,,Fig 2,Chamber study testing protein but may be good study,,numberofleaves,k,y,y,Populus trichocarpa,Apical shoot growth was followed by weekly counting of leaves formed after the beginning of treatment.
laube14a,Laube_2014_GlobalChBiol.pdf,"Laube J., Sparks T.H., Estrella N., Joflers J., Ankerst D.P., Menzel A.",2014,Chilling outweighs photoperiod in preventing precocious spring development,Global Change Biology,20,170-182,,TS,,Growth stage rubric detailed on page 171-172,,degreedays,e,y,y,36 spp.,"The development stage of buds was recorded three times per week using a scheme following BBCH codes (Meier, 2001). "
laube14b,Laube_2014_NewPhytol.pdf,"Laube J., Sparks T.H., Estrella N., Menzel A.",2014,Does humidity trigger tree phenology? Proposal for an air humidity based framework for bud development in spring,New Phytol,202,350-355,DF,DF,,Tests humidity but still pertinent.,,daystoleafunfolding,k,y,y,9 spp.,
legave13,Legave_2013_IntrnlJrnBiomtrlgy.pdf,,2013,,,,,,,,"Not an observational study, data taken from databases",,bloomingduration,m,m,y,Malus,
leinonen96,Leinonen_1996_ScandJForRes.pdf,,1996,,,,,,,,Study testing chilling requirements of plants from different origins,,chillingrequirement,m,m,y,"Pinus sylvestris, Betula pendula",
leinonen97,Leinonen_1997_AnnalsofBio.pdf,"Leinonen, I., Repo T., Hanninen H.",1997,Changing Environmental Effects on Frost Hardiness of Scots Pine During Dehardening,Annals of Botany,79,133-138,TS,,,"TIM: you marked this as entered ""e"" in inventory, but I don't see it",,"elongation, frost hardiness",e,m,y,Pinus sylvestris,"Apical bud swelling was observed visually in chamber trees at the beginning of Feb. 1995. Thereafter, the growth of terminal shoots was measured at intervals of 3 to 14 d."
lennartsson04,Lennartsson_2004_ScandJrnlForestResearch.pdf,,2004,,,,,,,,Mostly about sugar concentration from various origins.,,"sugarconcentration, ",m,n,y,Salix spp.,Progress of budburst was calculated as the ratio of buds that had burst to the total number of buds that finally did burst.
li05,Li_2005_TreePhys.pdf,"Li, C., Welling A., Puhakainen T., Vihera-Aaarnino A., Ernsten A., Junttila O, Heino P, Palva E.T",2005,Differential responses of silver birch (Betula pendula) ecotypes to short-day photoperiod and low temperature,Tree Physiology,25,1563-1569,EF,EF,Fig 4 a and b,Looks like a straightforward manipulation study,,"percentbudburst, height, budwatercontent, ",k,y,y,Betula pendula,Bud burst was defined as the date when the first leaf unfolded.
linkosalo06,Linkosalo_2006_TreePhys.pdf,"Linkosalo T., Lechowicz M.J.",2006,Twilight far-red treatment advances leaf bud burst of silver birch (Betula pendula),Tree Physiology,26,1249-1256,DF,DF,,Good study with some light filter manipulation. Rubric detailed on pg 1252,,daystobudburst,k,y,y,Betula pendula,"The status of the leaf buds was observed at the end of the warming treatment, as the plants were then outside the filter boxes and more easily observed. We kept separate records for three phases in bud development, namely (1) the start of bud swelling, bud scales split open; (2) emergence of the first leaf from the bud; and (3) the emergence of the base and petiole of the first leaf from the bud. The number of buds in each phase was recorded daily on all plants.
After a review of the observations, we considered that bud burst was most consistently assessed as the time when at least three buds of a plant had reached Phase 3 (petiole emerging from bud). The buds observed were the first to show signs of development (Myking and Heide 1995). For most of the plants, the first buds to burst were apical and typically on the main stem."
linkosalo08,Linkosalo_2008_TreePhys.pdf,,2008,,,,,,,,Not a controlled study,,modelfit,n,n,y,"Betula pendula, Betula pubescens, Prunus padus, Sorbus aucuparia",
londo14,Londo_2014_EnvExpBot.pdf,"Londo J.P., Johnson L.M.",2014,Variation in the chilling requirement and budburst rate of wild Vitis species,Environ Exp Bot,106,138-147,DF,,possibly table 1,"chilling study on vitis, brought cuttings in at various points in winter",,,m,y,y,Vitis vinifera,
luedeling09,Luedeling_2009_PloS.pdf,"Luedeling E., Zhang M. Girvetz E.H.",2009,Climatic Changes Lead to Declining Winter Chill for Fruit and Nut Trees in California during 1950–2099,PLoS One,4,e6166,,,,model of chilling hours ,,,n,,,,
luttge09,Lu_ttge_2009_Trees.pdf,"Luttge U., Hertel B.",2009,Diurnal and annual rhythms in trees,Trees,23,683-700,,,,think-piece about timing,,,n,,,,
lyndon77,CRC Handbook,"Lyndon, RF",1977,Interacting processes in development at the shoot apex,Symp Soc Exp Biol,31,221-250,,DF,,"From CRC handbook directly. Actually nonwoody, exclude",,,n,n,n,Silene bicolor,
man10,Man_2010_CanadianJrnl.pdf,"Man R., Lu P.",2010,Effects of thermal model and base temperature on estimates of thermal time to bud break in white spruce seedlings,Can J For Res,40,1815-1820,EF,EF,Fig 2 (curves),,,percentbudburst,k,y,y,Picea glauca,
manson91,Manson_1991_NZJCropHortSci.pdf,"Manson P.I., Snelgar W.P.",1991,Effect of time of budburst and apical shoot growth on flower production in kiwifruit,New Zealand Journal of Crop and Horticultural Science,19,441-445,EF,EF,Fig 2.,"two studies, focus on warming one",,percentbudburst,k,y,y,Actinidia deliciosa,
mauget90,Mauget_1990_ActHort.pdf,Mauget J.C.,1990,Bud dormancy development in the cold-deprived walnut tree (Juglans regia L.),Acta Horticulturae,279,303-310,,,,"time to budburst for cuttings brought in to greenhouse at different dates, a chilling study.",,,m,y,y,Juglans,
mcmillan76,McMillan_1976_BotGaz,"McMillan C., Winstead J.E.",1976,Adaptive Differentiation in Liquidambar styraciflua L. from Eastern United States and Northeastern Mexico Under Uniform Environmental Conditions,Botanical Gazette,137,361-367,,,,Interesting but not great: reciprocal common garden. Not experimental manipulalation of either temp or photo, ,,m,y,y,Liquidambar styraciflua,
mehlenbacher91,Mehlenbacher_1991_ScientiaHort.pdf,Mehlenbacher S.A.,1991,Chilling requirements of hazelnut cultivars,Scientia Horticultura,47,271-282,DF,,,"Chilling study only, no temp or photo",,,m,y,y,Corylus avellana,
migliavacca12,Migliavacca_2012_Biogeosci.pdf,"Migliavacca M., Sonnentag, Keenan T.F., Cescatti A., O'Keefe J., Richardson A.D.",2012,On the uncertainty of phenological responses to climate change and its implication for terrestrial biosphere models,Biogeosciences,9,879-926,,,,,,,n,,,,
miller04,Miller_2004_ActHort.pdf,Miller D.D.,2004,Evaluation of Malus sieversii Seedlings from Kazakhstan for Disease Resistance and Time of Leafing,Acta Horticulturae,663,535-537,,,,,,,n,,,,
mimura10,Mimura_2010_JEvolBio.pdf,"Mumura M., Aitken S.N.",2010,Local adaptation at the range peripheries of Sitka spruce,J Evol Biol,23,249-258,DF,,Possibly fig 4d,"Would be hard to make fit for us, but is a growth chamber study across latitudes",,daystobudburst,m,y,y,Picea sitchensis,
morin07,Morin_2007_TreePhys.pdf,"Morin X., et al. (Chuine)",2007,Variation in cold hardiness and carbohydrate concentration from dormancy induction to bud burst among provenances of three European oak species,Tree Physiology,27,817-825,,,,Cold hardiness study only,,,n,,,,
morin09,Morin_2009_GlobalChngBiology.pdf,"Morin X., et al. (Chuine)",2009,Leaf phenology in 22 North American tree species during the 21st century,Global Change Biology,15,961-975,,,,"model study, based in part on O'Keefe data",,,n,,,,
morin10,Morin_2010_NewPhyt.pdf,"Morin X., Roy J., Sonie L., Chuine I.",2010,Changes in leaf phenology of three European oak species in response to experimental climate change,New Phytol,186,900-910,EF,EF,Fig 2d (response to warming),,,dayofleafunfolding,k,y,y,"Quercus ilex, Quercus pubescens, Quercus robur",
morleybunker87,Morley-Bunker_1987_WeatherClimate.pdf,"Morley-Bunker M.J., Salinger M.J.",1987,Kiwifruit Development: The Effect Of Temperature On Budburst And Flowering,Weather and Climate,7,26-30,,,,Observational study,,,n,y,y,,
murray89,Murray_1989_JApplEco.pdf,Murray et al.,1989,Date of budburst of fifteen tree species in britain following climate warming,Journal of Applied Ecology,26,693-700,,,"Fig 1, Fig 2","Thermal times to budburst in a semi-manipulative experiment, not quite ",,,n,y,y,15 species,
myking95,Myking_1995_TreePhysiol.pdf,Myking T.,1995,Dormancy release and chilling requirement of buds of latitudinal ecotypes of Betula pendula and B. pubescens,Tree Physiology,15,697-704,TS,TS,,,,daystobudburst,e,y,y,"Betula pendula, Betula pubescens",
myking97,Myking_1997_Trees.pdf,Myking T.,1997,Effects of constant and fluctuating temperature on time to budburst in Betula pubescens and its relation to bud respiration,Trees,12,107-112,EF,EF,Fig 1,,,daystobudburst,k,y,y,Betula pubescens,
myking98,Myking_1998_Trees.pdf,Myking T.,1998,Interrelations between respiration and dormancy in buds of three hard- wood species with different chilling requirements for dormancy release,Trees,12,224-229,EMW,EMW,Fig 3,,,daystobudburst,k,y,y,"Betula pendula, Alnus glutinosa, Prunus padus",
myking99,Myking_1999_Phyton.pdf,Myking T.,1999,Winter Dormancy Release and Budburst in Betula pendula Roth and B. pubescens Ehrh. Ecotypes,Phyton,39,139-146,,,,Data reprints 1995 paper,,,n,y,y,"Betula pendula, Betula pubescens",
nishimoto95,Nishimoto_1995_Actahort.pdf,"Nishimoto N., Fujisaki M.",1995,Chilling requriemtn of buds of some deciduous fruits grown in southern Japan and the means to break dormancy,Acta Horticulturae,395,153-160,DF,DF,Table 1,,,,k,y,y,Pieris,
nizinski88,Nizinski_1988_JAppEcol.pdf,"Nizinski J.J., Saugier B.",1988,A Model of Leaf Budding and Development for a Mature Quercus Forest,J App Eco,25,643-652,,,,Model of LAI gain under temperature accumulation,,,n,n,y,Quercus petraea,
norby03,Norby_2003_GlChngBio.pdf,Norby et al.,2003,Phenological responses in maple to experimental atmospheric warming and CO2 enrichment,Global Change Biology,9,1792-1801,,TS,Fig 3,"Completed, need to check with Dan if figure was read correctly, as of 13-Jan-15",,phenoscore,m,y,y,"Acer rubrum, Acer saccharum",
nordli08,Nordli_2008_IntJBiomet.pdf,Nordii et al. (Skre),2008,Regional trends for bud burst and flowering of woody plants in Norway as related to climate change,Int J Biomet,,,,,,"Time series data, not experimental. Several species and long records, but not worth it for us",,,n,,,,
odlum89,Odlum_1989_CanJForRes.pdf,"Odlum K.D., Colombo S.J.",1989,The influence of night temperatures under declining photoperiod on bud initiation in black spruce seedlings,Can J For Res,,,DF,,Figs 1 and 2,,,,k,,,,
okie11,Okie_2011_Hortsci.pdf,"Okie W.R., Blackburn B.",2011,Interactive effects of light and chilling on peach flower and leaf budbreak,Hortscience,46,1056-1062,EMW,EMW,"Fig 3., 4",,,percentbudburst,k,,,,
olsen97,Olsen_1997_PlantCellPhysiol.pdf,"Olsen J.E., Juntilla O., Moritz T.",1997,Long-Day Induced Bud Break in Salix pentandra Is Associated with Transiently Elevated Levels of GAi and Gradual Increase in Indole-3-Acetic Acid,Plant Cell Physiol,38,536-540,DF,,Fig 1.,,,elongation,k,,,,
orlandi10,Orlandi_2010_JSocBotItal.pdf,Orlandi F. et al. (Fornaciari),2012,Phenological olive chilling requirements in Umbria (Italy) and Andalusia (Spain),Plant Biosys,138,111-116,,,Fig 2.,,,,m,,,,
pagter15,Pagter_2015_AobPlants.pdf,"Pagter M., Andersen U.B., Andersen L.",2015,"Winter warming delays dormancy release, advances budburst, alters carbohydrate metabolism and reduces yield in a temperate shrub",AoB Plants,,,JS,JS,Fig 2.,,,,k,,,,
partanen01,Partanen_2001_SilviaFennica.pdf,"Partanen J., Leinonen I., Repo T.",2001,Effect of Accumulated Duration of the Light Period on Bud Burst in Norway Spruce (Picea abies) of Varying Ages,Silva Fennica,35,111-117,JS,JS,Table 1 (Fig 1 same information?),,,,k,,,,
partanen05,Partanen_2005_Trees.pdf,"Partanen J., Hanninen H., Hakkinen R.",2005,Bud burst in Norway spruce (Picea abies): preliminary evidence for age-specific rest patterns,Trees,19,66-72,JS,JS,Fig 2,,,,k,,,,
partenan98,Partanen_1998_Treephys.pdf,Partanen et al.,1998,Effects of photoperiod and temperature on the timing of bud burst in Norway spruce (Picea abies),Tree Physiology,18,811-816,JS,JS,Table 3,in data_simple only so far,,daystobudburst,k,y,y,Picea abies,
partenen04,Partenen_2004_ForestEcoMngmnt.pdf,Partanen J.,2004,Dependence of photoperiodic response of growth cessation on the stage of development in Picea abies and Betula pendula seedlings,Forest Ecol Management,188,137-148,,,,Cessation of bud formation only,,,n,,,,
pettersen71,Pettersen_1971_JAmHortSciSoc.pdf,Pettersen H,1971,The effect of temperature and daylength on shoot growth and bud formation in azaleas,J Am Soc Hortic Sci,97,17-24,JS,JS,Fig 5 shoot growth,"Not budburst, but has shoot elongation as function of temp and daylength",,elongation,k,y,y,,
pinto11,Pinto_2011_ForestEco&Mngmnt.pdf,Pinto et al. (David),2011,Phenology and growth dynamics in Mediterranean evergreen oaks: Effects of environmental conditions and water relations,Forest Ecol Management,262,500-508,TS,,,"Observational, not great",,,m,,,,
polgar13,Polgar_2013_NewPhyt.pdf,"Polgar, C., Gallinant A., Primack R.",2013,Drivers of leaf-out phenology and their implications for species invasions: insights from Thoreau’s Concord,New Phytol,,,DF,,See supp Table S2,,,daystobudburst,k,y,y,many!,
pop2000,Pop_2000_Oecologia.pdf,"Pop E.W., Oberbauer S.F., Starr G.",2000,"Predicting vegetative bud break in two arctic deciduous shrub species, Salix pulchra and Betula nana",Oecologia,124,176-184,JS,JS,Fig 2. ,,,percentbudburst,k,y,y,"Betula nana, Salix pulchra",
post42,,Post K,1942,Effects of daylength and temperature on growth and flowering of some florist crops,Cornell Agricultural Experimental Station,,70 p,,,,,,,,,,,
pudas09,Pudas_2008_IntJBiomet.pdf,,2008,Trends in phenology of Betula pubescens across the boreal zone in Finland,Int J Biomet,,,,,,"Observational trends over time, not suitable",,,n,,,,
ramos99,Ramos_1999_conf.pdf,"Ramos A., Rallo L.",1999,"Effect of the bearing condition of the tree, chilling and defoliation on the forced budburst of olive cuttings at different tempeartures",Acta Horticulturae,474,251-254,JS,JS,Fig 1.,,,percentbudburst,k,,,,
rech07,Rech_2007_PesquisaAgroBras.pdf,Rech T. et al.,2007,"Dynamic of dormancy and budburst of willow plants in Planalto Sul, Santa Catarina State, Brazil",Pesq agropec bras,42,1249-1255,,,,Looks like fig 2 could be useful,,,m,,,,
reist78,,Reist A,1978,Influence de différents régimes thermiques et d'un éclairage d'appoint sur la précocité des géraniums (Pelargonium zonale L.) issus de semis,Rev. Suisse Vitic. Arboric. Hortic.,10,197-203,,,,,,,,,,,
richardson12,Richardson_2012_GlbChngBio.pdf,,2012,,,,,,,,"Modeling paper, skip",,,n,,,,
rinne94,Rinne_1994_PhysiologiaPlant.pdf,"Rinne P., Saarelainen A., Juntilla O.",1994,"Growth cessation and bud dormancy in relation to ABA level in seedlings and coppice shoots of Betula pubescem as affected hy a short photoperiod, water stress and chilling",Physiologia Plantarum,90,451-458,JS,JS,Fig 2.,,,percentbudburst,k,y,y,Betula pubescens,
rinne97,Rinne_1997_PlantCellEnv.pdf,"Rinne P. Hanninen H., Kaikuranta P., Jalonen J.E., Repo T",1997,Freezing exposure releases bud dormancy in Betula pubescens and Betula pendula,Plant Cell Env,20,119-1204,AE,AE,Fig 1. ,,,percentbudburst,k,y,y,"Betula pubescens, Betula pendula",
rollinson12,Rollinson_2012_GlobalChangeBio.pdf,"Rollinson C., Kaye M.W.",2012,Experimental warming alters spring phenology of certain plant functional groups in an early successional forest community,Global Change Biology,18,1108-1116,TS,,,"Observational, skip",,,m,,,,
rossi06,Rossi_2006_NewPhyt.pdf,Rossi S. et al.,2006,Conifers in cold environments synchronize maximum growth rate of tree-ring formation with day length,New Phytol,170,301-310,,,,,,,n,,,,
rousi04,Rousi_2004_TreePhys.pdf,"Rousi M., Pusenius J.",2004,Variations in phenology and growth of European white birch (Betula pendula) clones,Tree Physiology,25,201-210,,,Fig 3,Clones in a common garden,,,m,,,,
ruenger81,,"Rünger W, Führer H.",1981,"Tageslänge, Temperatur und Blühraktion bei Sclumbergera (Zugocactus)",Gartenbauwissenschaft,46,209-213,,DF,,From CRC handbook directly,,daystoflowering,e,y,n,Schlumbergera (Cactaceae),
ruesink98,Ruesink_1998_Gartenbau.pdf,Ruesink J.B.,1998,Long day treatment prevents flower bud formation in Pieris cuttings,Gartenbauwissenschaft,63,221-227,AE,AE,Fig 1,,,percentflowering,k,y,y,Pieris,
sanzperez09,Sanz-Pe_rez_2009_PlantBio.pdf,"Sanz-Perez V., Castro-Diez P., Valladares F.",2009,Differential and interactive effects of temperature and photoperiod on budburst and carbon reserves in two co-occurring Mediterranean oaks,Plant Biology,11,142-151,AE,AE,Fig 1.,,,,k,y,y,"Quercus ilex, Quercus faginea",
sanzperez10,Sanz-Perez_2010_Trees.pdf,"Sanz-Perez V., Castro Diez P.",2010,Summer water stress and shade alter bud size and budburst date in three mediterranean Quercus species,Trees ,24,89-97,AE,AE,Fig 5.,budburst of three oak species under different water and light conditions; focus on light,,percentbudburst,k,y,y,"Quercus coccifera, Quercus ilex, Quercus faginea",
savage13,Savage_2013_Ecology.pdf,"Savage J., Cavender-Bares J.",2013,Phenological cues drive an apparent trade-off between freezing tolerance and growth in the family Salicaceae,Ecology,94,1708-1717,,,,Ask Jessica for data! She has budburst in two climates for many Salix spp,,,,,,,
schaber03,Schaber_2003_IntJBiometeorol.pdf,,2003,,,,,,,,Observation and modeling only,,,n,,,,
scheiber06,Schieber_2006_JForestSci.pdf,,2006,,,,,,,,Observational study at different stocking rates only,,,n,,,,
schier78,Schier_1978_ForestScience.pdf,,1978,,,,,,,,Ethylene experiment on shoot growth only,,,n,,,,
schmitz14,Schmitz_2014_AmrcnJrnBotany.pdf,Schmitz J.D. et al. (Lauri),2014,Exploring bud dormancy completion with a combined architectural and phenological analysis: the case of apple trees in contrasting winter temperature conditions1,Am J Bot,101,398-407,,,,Bud anatomy study,,,n,,,,
schmitz15,Schmitz_2015_ScientiaHort.pdf,,2015,,,,,,,,"Comparison of nodes of different position, not env conditions",,,n,,,,
schnaebel87,Schnaebel_1987_JEnology.pdf,"Schnabel B.J., Wample R.L.",1987,Dormancy and cold hardiness in Vitis vinifera L. cv. White Riesling as influenced by photoperiod and temperature,Am J Enology Viticulture,38,265-272,AE,AE,Fig 7,,,daysto50%budburst,k,,,,
schuch88,Schuch_1988_CanJrnlFrstRsrch.pdf,,1988,,,,,,,,Damage to needles only,,,n,,,,
schwartz10,Schwartz_2010_IntJrnlClimatology.pdf,,2010,,,,,,,,Observation of chilling accumulation,,,n,,,,
skre08,Skre_2008_EnvExpBot.pdf,Skre,2008,The importance of hardening and winter temperature for growth in mountain birch populations,Environ Exp Bot,62,254-266,DF,DF,Fig 8: budbreak by temperature treat and origin,,,daystobudburst,k,y,y,Betula pendula,
skuterud94,Skuterud_1994_SilvaFen.pdf,"Skuterud R., Dietrichson J.",1994,Burburst in detached birch shoots (Betula pendula) of different varieties winter-stored in darkness at thre different temperatures,Silva Fennica,28,233-241,AE,AE,Fig 3 (3D!),,,daystobudburst,k,y,y,Betula pendula,
sogaard08,Sogaard_2008_TreePhys.pdf,"Sogaard, G., Johnsen O, Nilsen J., Junttila O.",2008,Climatic control of bud burst in young seedlings of nine provenances of Norway spruce,Tree Physiology,28,311-320,AE,AE,"Fig 1, 2, 3",Three experiments,,,k,y,y,Picea abies,
spann04,Spann_2004_JAmSocHortSCi.pdf,Spann,2004,Photoperiod and Temperature Effects on Growth and Carbohydrate Storage in Southern Highbush Blueberry Interspecific Hybrid,J Am Soc Hortic Sci,129,294-298,AE,AE,Fig 1,,,percentflowering,k,y,y,Vaccinium corymbosum,
sutinen12,Sutinen_2012_TreePhys.pdf,,2012,,,,,,,,Bud anatomy study,,,n,,,,
takimoto64,Takimoto_1964_PlantPhysiol.pdf,Takimoto,1964,Effect of temperature and preconditioning on photoperiodic response of Pharbitis nil,Plant Physiol,39,1024-1030,TS,TS,Fig 1,"Scraped, need to fill in ""study"" details sheet",,,e,y,n,Pharbitis nil (Convulvaceae),
thabeet09,Thabeet_2009_Trees.pdf,,2009,,,,,,,,Observational study,,,n,,,,
thielges75,Thielges_1975_conf.pdf,"Thielges, B.A., Beck R.C.",1975,Control of bud break and its inheritance in Populus deltoides,Tree Physiology and Yield improvement,,,AE,AE,Fig 1.,Chilling study,,daystobudburst,k,y,y,Populus deltoides,
thorup57,Thorup_1957_PhysPlant.pdf,,1957,,,,,,,,Ethylene study,,,n,,,,
vasilakakis79,Vasilakakis_1979_JAmHortSciSoc.pdf,VASILAKAKIS,1979,TEMPERATURE AND DEVELOPMENT OF RED RASPBERRY FLOWER BUDS,J Am Soc Hort Sci ,104,61-62,,TS,,Hand drawings of raspberry bud initiation under GA,,,n,n,y,Rubus idaeus,
viheraaarno06,Vihera_-Aarnio_2006_TreePhys.pdf,"Vinhera-Aarino A., Hakkinen R., Junttila O.",2006,Critical night length for bud set and its variation in two photoperiodic ecotypes of Betula pendula,Tree Physiology,26,1013-1018,TS,TS,Fig 1,,,percentbudset,e,n,y,,"A seedling was recorded as having set bud if no leaves or only one small leaf had formed at the shoot apex during the preced- ing week and if the uppermost leaf differed considerably in size from that immediately below. If there was an even contin- uum of leaves of varying size at the top of the seedling, it was assumed to be still growing. At the end of the experiment, the number of seedlings with set buds was counted and the per- centage of seedlings with set buds calculated for each treat- ment and mother tree."
viheraaarno13,Vihera_-Aarnio_2013_TreePhys.pdf,"Viherä-Aarnio, Sutinen, Partanen, Hakkinen",2006,Internal development of vegetative buds of Norway spruce trees in relation to accumulated chilling and forcing temperatures,Tree Physiology,34,547-556,,,,Bud anatomy study,,,n,,,,
vitasse09a,Vitasse_2009_AgForestMeteorology.pdf,Vitasse Y. et al. (Michalet),2009,Leaf phenology sensitivity to temperature in European trees: Do within-species populations exhibit similar responses?,Agricultural and Forest Meteorology,149,735-744,,,,doy by altitude study for multiple species.,,,m,,,,
vitasse09b,Vitasse_2009_Oecolgia.pdf,,2009,,,,,,,,doy by altitude study for multiple species.,,,m,,,,
vitasse11,Vitasse_2011_AgForestMeteorology.pdf,,2011,,,,,,,,Modeling study of observed data,,,n,,,,
vitasse13a,Vitasse_2013_EuroJrnlForestResearch.pdf,,2013,,,,,,,,Review article,,,n,,,,
vitasse13b,Vitasse_2013_NewPhyto.pdf,,2013,Ontogenic changes rather than difference in temperature cause understory trees to leaf out earlier,,,,,,,"Comparison of seedlings at different heights in canopy, interesting but not for us",,,m,,,,
vitasse14a,Vitasse_2014_FrntrsPlantSci.pdf,,2014,,,,,,,,"Think-piece, no experimental data",,,n,,,,
vitasse14b,Vitasse_2014_JournalofEcology.pdf,,2014,Earlier leaf-out rather than difference in freezing resistance puts juvenile trees at greater risk of damage than adult trees,,,,,,,Freezing resistance study only,,,n,,,,
vitasse14c,Vitasse_2014_Tree Physiol.pdf,,2014,,,,,,,,"Comparison of cuttings and adults, but no experimental treatments shown",,,n,,,,
vonwuehlsich96,VonWuehlisch_1996_SilvaeGenetica.pdf,,1996,,,,,,,,budburst data not shown,,,n,,,,
way11,Way_2011_TreePhysiol.pdf,,2011,,,,,,,,Review paper,,,n,,,,
way14,Way_2014_PlantCellEnv.pdf,,2014,,,,,,,,Review paper,,,n,,,,
weller12,Weller_2012_PNAS.pdf,,2012,,,,,,,,genetics of photoperiodism study,,,n,n,n,,
welling02,Welling_2002_PlantPhysiol.pdf,"Welling A., Moritz T., Palva E.T., Junttila O.",2002,Independent Activation of Cold Acclimation by Low Temperature and Short Photoperiod in Hybrid Aspen,Plant Physiol,129,1633-1641,,,,"Growth, not budburst, but could use",,Elongation,m,,,,
wesolowski06,Wesolowski_2006_ForestEco&Mngmnt.pdf,,2006,,,,,,,,Observational study,,,n,,,,
wielgolaski99,Wielgolaski_1999_IntJBiomet.pdf,,1999,,,,,,,,Observational study,,,n,,,,
