model,nointer_2level.stan: m2l.ni, winternosp_2level.stan: m2l.winsp,nointer_2level_studyint_ncp.stan,nointer_2level.stan: m2l.ni, winternosp_2level.stan: m2l.winsp,nointer_2level_studyint_ncp.stan
b_chill[165],,,,,,
b_chill[166],,,,,,
b_chill[167],,,,,,
b_chill[168],,,,,,
b_chill[169],,,,,,
b_chill[170],,,,,,
b_chill[171],,,,,,
b_chill[172],,,,,,
b_chill[173],,,,,,
b_chill[174],,,,,,
b_chill[175],,,,,,
b_chill[176],,,,,,
b_chill[177],,,,,,
b_chill[178],,,,,,
b_chill[179],,,,,,
b_chill[180],,,,,,
b_chill[181],,,,,,
b_chill[182],,,,,,
b_chill[183],,,,,,
b_chill[184],,,,,,
b_chill[185],,,,,,
b_chill[186],,,,,,
b_chill[187],,,,,,
b_chill[188],,,,,,
b_chill[189],,,,,,
b_chill[190],,,,,,
b_chill[191],,,,,,
b_chill[192],,,,,,
b_chill[193],,,,,,
b_chill[194],,,,,,
b_chill[195],,,,,,
b_chill[196],,,,,,
b_chill[197],,,,,,
b_chill[198],,,,,,
b_chill[199],,,,,,
b_chill[200],,,,,,
b_photo[1],,,,,,
b_photo[2],,,,,,
b_photo[3],,,,,,
b_photo[4],,,,,,
b_photo[5],,,,,,
b_photo[6],,,,,,
b_photo[7],,,,,,
b_photo[8],,,,,,
b_photo[9],,,,,,
b_photo[10],,,,,,
b_photo[11],,,,,,
b_photo[12],,,,,,
b_photo[13],,,,,,
b_photo[14],,,,,,
b_photo[15],,,,,,
b_photo[16],,,,,,
b_photo[17],,,,,,
b_photo[18],,,,,,
b_photo[19],,,,,,
b_photo[20],,,,,,
b_photo[21],,,,,,
b_photo[22],,,,,,
b_photo[23],,,,,,
b_photo[24],,,,,,
b_photo[25],,,,,,
b_photo[26],,,,,,
b_photo[27],,,,,,
b_photo[28],,,,,,
b_photo[29],,,,,,
b_photo[30],,,,,,
b_photo[31],,,,,,
b_photo[32],,,,,,
b_photo[33],,,,,,
b_photo[34],,,,,,
b_photo[35],,,,,,
b_photo[36],,,,,,
b_photo[37],,,,,,
b_photo[38],,,,,,
b_photo[39],,,,,,
b_photo[40],,,,,,
b_photo[41],,,,,,
b_photo[42],,,,,,
b_photo[43],,,,,,
b_photo[44],,,,,,
b_photo[45],,,,,,
b_photo[46],,,,,,
b_photo[47],,,,,,
b_photo[48],,,,,,
b_photo[49],,,,,,
b_photo[50],,,,,,
b_photo[51],,,,,,
b_photo[52],,,,,,
b_photo[53],,,,,,
b_photo[54],,,,,,
b_photo[55],,,,,,
b_photo[56],,,,,,
b_photo[57],,,,,,
b_photo[58],,,,,,
b_photo[59],,,,,,
b_photo[60],,,,,,
b_photo[61],,,,,,
b_photo[62],,,,,,
b_photo[63],,,,,,
b_photo[64],,,,,,
b_photo[65],,,,,,
b_photo[66],,,,,,
b_photo[67],,,,,,
b_photo[68],,,,,,
b_photo[69],,,,,,
b_photo[70],,,,,,
b_photo[71],,,,,,
b_photo[72],,,,,,
b_photo[73],,,,,,
b_photo[74],,,,,,
b_photo[75],,,,,,
b_photo[76],,,,,,
b_photo[77],,,,,,
b_photo[78],,,,,,
b_photo[79],,,,,,
b_photo[80],,,,,,
b_photo[81],,,,,,
b_photo[82],,,,,,
b_photo[83],,,,,,
b_photo[84],,,,,,
b_photo[85],,,,,,
b_photo[86],,,,,,
b_photo[87],,,,,,
b_photo[88],,,,,,
b_photo[89],,,,,,
b_photo[90],,,,,,
b_photo[91],,,,,,
b_photo[92],,,,,,
b_photo[93],,,,,,
b_photo[94],,,,,,
b_photo[95],,,,,,
b_photo[96],,,,,,
b_photo[97],,,,,,
b_photo[98],,,,,,
b_photo[99],,,,,,
b_photo[100],,,,,,
b_photo[101],,,,,,
b_photo[102],,,,,,
b_photo[103],,,,,,
b_photo[104],,,,,,
b_photo[105],,,,,,
b_photo[106],,,,,,
b_photo[107],,,,,,
b_photo[108],,,,,,
b_photo[109],,,,,,
b_photo[110],,,,,,
b_photo[111],,,,,,
b_photo[112],,,,,,
b_photo[113],,,,,,
b_photo[114],,,,,,
b_photo[115],,,,,,
b_photo[116],,,,,,
b_photo[117],,,,,,
b_photo[118],,,,,,
b_photo[119],,,,,,
b_photo[120],,,,,,
b_photo[121],,,,,,
b_photo[122],,,,,,
b_photo[123],,,,,,
b_photo[124],,,,,,
b_photo[125],,,,,,
b_photo[126],,,,,,
b_photo[127],,,,,,
b_photo[128],,,,,,
b_photo[129],,,,,,
b_photo[130],,,,,,
b_photo[131],,,,,,
b_photo[132],,,,,,
b_photo[133],,,,,,
b_photo[134],,,,,,
b_photo[135],,,,,,
b_photo[136],,,,,,
b_photo[137],,,,,,
b_photo[138],,,,,,
b_photo[139],,,,,,
b_photo[140],,,,,,
b_photo[141],,,,,,
b_photo[142],,,,,,
b_photo[143],,,,,,
b_photo[144],,,,,,
b_photo[145],,,,,,
b_photo[146],,,,,,
b_photo[147],,,,,,
b_photo[148],,,,,,
b_photo[149],,,,,,
b_photo[150],,,,,,
b_photo[151],,,,,,
b_photo[152],,,,,,
b_photo[153],,,,,,
b_photo[154],,,,,,
b_photo[155],,,,,,
b_photo[156],,,,,,
b_photo[157],,,,,,
b_photo[158],,,,,,
b_photo[159],,,,,,
b_photo[160],,,,,,
b_photo[161],,,,,,
b_photo[162],,,,,,
b_photo[163],,,,,,
b_photo[164],,,,,,
b_photo[165],,,,,,
b_photo[166],,,,,,
b_photo[167],,,,,,
b_photo[168],,,,,,
b_photo[169],,,,,,
b_photo[170],,,,,,
b_photo[171],,,,,,
b_photo[172],,,,,,
b_photo[173],,,,,,
b_photo[174],,,,,,
b_photo[175],,,,,,
b_photo[176],,,,,,
b_photo[177],,,,,,
b_photo[178],,,,,,
b_photo[179],,,,,,
b_photo[180],,,,,,
b_photo[181],,,,,,
b_photo[182],,,,,,
b_photo[183],,,,,,
b_photo[184],,,,,,
b_photo[185],,,,,,
b_photo[186],,,,,,
b_photo[187],,,,,,
b_photo[188],,,,,,
b_photo[189],,,,,,
b_photo[190],,,,,,
b_photo[191],,,,,,
b_photo[192],,,,,,
b_photo[193],,,,,,
b_photo[194],,,,,,
b_photo[195],,,,,,
b_photo[196],,,,,,
b_photo[197],,,,,,
b_photo[198],,,,,,
b_photo[199],,,,,,
b_photo[200],,,,,,
b_force[1],,,,,,
b_force[2],,,,,,
b_force[3],,,,,,
b_force[4],,,,,,
b_force[5],,,,,,
b_force[6],,,,,,
b_force[7],,,,,,
b_force[8],,,,,,
b_force[9],,,,,,
b_force[10],,,,,,
b_force[11],,,,,,
b_force[12],,,,,,
b_force[13],,,,,,
b_force[14],,,,,,
b_force[15],,,,,,
b_force[16],,,,,,
b_force[17],,,,,,
b_force[18],,,,,,
b_force[19],,,,,,
b_force[20],,,,,,
b_force[21],,,,,,
b_force[22],,,,,,
b_force[23],,,,,,
b_force[24],,,,,,
b_force[25],,,,,,
b_force[26],,,,,,
b_force[27],,,,,,
b_force[28],,,,,,
b_force[29],,,,,,
b_force[30],,,,,,
b_force[31],,,,,,
b_force[32],,,,,,
b_force[33],,,,,,
b_force[34],,,,,,
b_force[35],,,,,,
b_force[36],,,,,,
b_force[37],,,,,,
b_force[38],,,,,,
b_force[39],,,,,,
b_force[40],,,,,,
b_force[41],,,,,,
b_force[42],,,,,,
b_force[43],,,,,,
b_force[44],,,,,,
b_force[45],,,,,,
b_force[46],,,,,,
b_force[47],,,,,,
b_force[48],,,,,,
b_force[49],,,,,,
b_force[50],,,,,,
b_force[51],,,,,,
b_force[52],,,,,,
b_force[53],,,,,,
b_force[54],,,,,,
b_force[55],,,,,,
b_force[56],,,,,,
b_force[57],,,,,,
b_force[58],,,,,,
b_force[59],,,,,,
b_force[60],,,,,,
b_force[61],,,,,,
b_force[62],,,,,,
b_force[63],,,,,,
b_force[64],,,,,,
b_force[65],,,,,,
b_force[66],,,,,,
b_force[67],,,,,,
b_force[68],,,,,,
b_force[69],,,,,,
b_force[70],,,,,,
b_force[71],,,,,,
b_force[72],,,,,,
b_force[73],,,,,,
b_force[74],,,,,,
b_force[75],,,,,,
b_force[76],,,,,,
b_force[77],,,,,,
b_force[78],,,,,,
b_force[79],,,,,,
b_force[80],,,,,,
b_force[81],,,,,,
b_force[82],,,,,,
b_force[83],,,,,,
b_force[84],,,,,,
b_force[85],,,,,,
b_force[86],,,,,,
b_force[87],,,,,,
b_force[88],,,,,,
b_force[89],,,,,,
b_force[90],,,,,,
b_force[91],,,,,,
b_force[92],,,,,,
b_force[93],,,,,,
b_force[94],,,,,,
b_force[95],,,,,,
b_force[96],,,,,,
b_force[97],,,,,,
b_force[98],,,,,,
b_force[99],,,,,,
b_force[100],,,,,,
b_force[101],,,,,,
b_force[102],,,,,,
b_force[103],,,,,,
b_force[104],,,,,,
b_force[105],,,,,,
b_force[106],,,,,,
b_force[107],,,,,,
b_force[108],,,,,,
b_force[109],,,,,,
b_force[110],,,,,,
b_force[111],,,,,,
b_force[112],,,,,,
b_force[113],,,,,,
b_force[114],,,,,,
b_force[115],,,,,,
b_force[116],,,,,,
b_force[117],,,,,,
b_force[118],,,,,,
b_force[119],,,,,,
b_force[120],,,,,,
b_force[121],,,,,,
b_force[122],,,,,,
b_force[123],,,,,,
b_force[124],,,,,,
b_force[125],,,,,,
b_force[126],,,,,,
b_force[127],,,,,,
b_force[128],,,,,,
b_force[129],,,,,,
b_force[130],,,,,,
b_force[131],,,,,,
b_force[132],,,,,,
b_force[133],,,,,,
b_force[134],,,,,,
b_force[135],,,,,,
b_force[136],,,,,,
b_force[137],,,,,,
b_force[138],,,,,,
b_force[139],,,,,,
b_force[140],,,,,,
b_force[141],,,,,,
b_force[142],,,,,,
b_force[143],,,,,,
b_force[144],,,,,,
b_force[145],,,,,,
b_force[146],,,,,,
b_force[147],,,,,,
b_force[148],,,,,,
b_force[149],,,,,,
b_force[150],,,,,,
b_force[151],,,,,,
b_force[152],,,,,,
b_force[153],,,,,,
b_force[154],,,,,,
b_force[155],,,,,,
b_force[156],,,,,,
b_force[157],,,,,,
b_force[158],,,,,,
b_force[159],,,,,,
b_force[160],,,,,,
b_force[161],,,,,,
b_force[162],,,,,,
b_force[163],,,,,,
b_force[164],,,,,,
b_force[165],,,,,,
b_force[166],,,,,,
b_force[167],,,,,,
b_force[168],,,,,,
b_force[169],,,,,,
b_force[170],,,,,,
b_force[171],,,,,,
b_force[172],,,,,,
b_force[173],,,,,,
b_force[174],,,,,,
b_force[175],,,,,,
b_force[176],,,,,,
b_force[177],,,,,,
b_force[178],,,,,,
b_force[179],,,,,,
b_force[180],,,,,,
b_force[181],,,,,,
b_force[182],,,,,,
b_force[183],,,,,,
b_force[184],,,,,,
b_force[185],,,,,,
b_force[186],,,,,,
b_force[187],,,,,,
b_force[188],,,,,,
b_force[189],,,,,,
b_force[190],,,,,,
b_force[191],,,,,,
b_force[192],,,,,,
b_force[193],,,,,,
b_force[194],,,,,,
b_force[195],,,,,,
b_force[196],,,,,,
b_force[197],,,,,,
b_force[198],,,,,,
b_force[199],,,,,,
b_force[200],,,,,,
,,,,,,
a_study[1],,,,,,
a_study[2],,,,,,
a_study[3],,,,,,
a_study[4],,,,,,
a_study[5],,,,,,
a_study[6],,,,,,
a_study[7],,,,,,
a_study[8],,,,,,
a_study[9],,,,,,
a_study[10],,,,,,
a_study[11],,,,,,
a_study[12],,,,,,
a_study[13],,,,,,
a_study[14],,,,,,
a_study[15],,,,,,
a_study[16],,,,,,
a_study[17],,,,,,
a_study[18],,,,,,
a_study[19],,,,,,
a_study[20],,,,,,
a_study[21],,,,,,
a_study[22],,,,,,
a_study[23],,,,,,
a_study[24],,,,,,
a_study[25],,,,,,
a_study[26],,,,,,
a_study[27],,,,,,
a_study[28],,,,,,
a_study[29],,,,,,
a_study[30],,,,,,
a_study[31],,,,,,
a_study[32],,,,,,
a_study[33],,,,,,
a_study[34],,,,,,
a_study[35],,,,,,
a_study[36],,,,,,
a_study[37],,,,,,
a_study[38],,,,,,
a_study[39],,,,,,
a_study[40],,,,,,
