"","spps","datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","phylo","crops","sppnum"
"2928","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",29,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,10,12,3.86041666666667,29,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2929","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",28.6,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,3.88541666666667,28.6,"exp","exp","bothest",1685,78.1051281597331,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,-0.342190528661979,"Viburnum_lantanoides","nocrop",91
"2930","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",28.6,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,3.88541666666667,28.6,"exp","exp","bothest",1685,78.1051281597331,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,-0.342190528661979,"Viburnum_lantanoides","nocrop",91
"2931","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",18.5,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,15,12,3.86041666666667,18.5,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2932","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",18.5,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,15,12,3.86041666666667,18.5,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2933","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",13.8,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,15,12,3.88541666666667,13.8,"exp","exp","bothest",1685,78.1051281597331,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,-0.342190528661979,"Viburnum_lantanoides","nocrop",91
"2934","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",19.8,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,10,12,3.88541666666667,19.8,"exp","exp","bothest",1685,78.1051281597331,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,-0.342190528661979,"Viburnum_lantanoides","nocrop",91
"2935","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",22.5,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,3.88541666666667,22.5,"exp","exp","bothest",1685,78.1051281597331,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,-0.342190528661979,"Viburnum_lantanoides","nocrop",91
"2936","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",30.6,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,3.86041666666667,30.6,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2937","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",30.6,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,3.86041666666667,30.6,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2938","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",30,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,3.86041666666667,30,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2939","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",30,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,3.86041666666667,30,"exp","exp","bothest",1669,76.2718839215756,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,-0.350106162800676,"Viburnum_lantanoides","nocrop",91
"2940","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",19.8,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,10,12,3.88541666666667,19.8,"exp","exp","bothest",1685,78.1051281597331,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,-0.342190528661979,"Viburnum_lantanoides","nocrop",91
"2941","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",25.75,1685,"4","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,5.38541666666667,25.75,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2942","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",20.4,1685,"4","30","26-Jan-2015",45.932675,-74.02507,15,12,5.38541666666667,20.4,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2943","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",20.4,1685,"4","30","26-Jan-2015",45.932675,-74.02507,15,12,5.38541666666667,20.4,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2944","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",27.5,1685,"4","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,5.38541666666667,27.5,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2945","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",30.2,1685,"4","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,5.38541666666667,30.2,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2946","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",23,1669,"4","30","21-Jan-2015",42.531705,-72.18992,10,12,5.36041666666667,23,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2947","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",25.33333333,1669,"4","30","21-Jan-2015",42.531705,-72.18992,10,12,5.36041666666667,25.33333333,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2948","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",15,1685,"4","30","26-Jan-2015",45.932675,-74.02507,10,12,5.38541666666667,15,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2949","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",37.2,1669,"4","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,5.36041666666667,37.2,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2950","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","8","timeonly",37.2,1669,"4","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,5.36041666666667,37.2,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-0.329338184901013,-1.00803446073276,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2951","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",30.2,1685,"4","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,5.38541666666667,30.2,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2952","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","12","timeonly",23,1685,"4","30","26-Jan-2015",45.932675,-74.02507,10,12,5.38541666666667,23,"exp","exp","bothest",1685,83.4163436760843,"Viburnum_lantanoides",227,-0.917756069474291,-0.242892681737139,0.132747519659819,"Viburnum_lantanoides","nocrop",91
"2953","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",25.25,1669,"4","30","21-Jan-2015",42.531705,-72.18992,15,12,5.36041666666667,25.25,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2954","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",34.66666667,1669,"4","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,5.36041666666667,34.66666667,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2955","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","15","5","8","timeonly",34.66666667,1669,"4","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,5.36041666666667,34.66666667,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-1.21196501176093,-1.00803446073276,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2956","Viburnum_lantanoides","flynn18","exp1","Viburnum","lantanoides",NA,"yes","20","10","12","timeonly",25.25,1669,"4","30","21-Jan-2015",42.531705,-72.18992,15,12,5.36041666666667,25.25,"exp","exp","bothest",1669,81.5830994379268,"Viburnum_lantanoides",227,-0.0351292426143737,-0.242892681737139,0.124831885521123,"Viburnum_lantanoides","nocrop",91
"2963","Viburnum_plicatum","zohner16","exp1","Viburnum","plicatum","","yes","18","14","16","timeonly",66.1875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,66.1875,"exp","exp","fldest",989,61.1148070881309,"Viburnum_plicatum",229,0.259079699672266,0.522249097258486,-0.164088760541305,"Viburnum_plicatum","nocrop",92
"2964","Viburnum_plicatum","zohner16","exp1","Viburnum","plicatum","","yes","18","14","16","timeonly",29.125,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,29.125,"exp","exp","fldest",1831,95.3468886724268,"Viburnum_plicatum",229,0.259079699672266,0.522249097258486,0.604387387090495,"Viburnum_plicatum","nocrop",92
"2965","Viburnum_plicatum","zohner16","exp1","Viburnum","plicatum","","yes","18","14","8","timeonly",30.3045625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,30.3045625,"exp","exp","fldest",1831,95.3468886724268,"Viburnum_plicatum",229,0.0237125458429542,-1.00803446073276,0.604387387090495,"Viburnum_plicatum","nocrop",92
"2957","Viburnum_opulus","zohner16","exp1","Viburnum","opulus","","yes","18","14","16","timeonly",41.4375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,41.4375,"exp","exp","fldest",989,61.1148070881309,"Viburnum_opulus",228,0.259079699672266,0.522249097258486,-0.164088760541305,"Viburnum_opulus","nocrop",93
"2958","Viburnum_opulus","zohner16","exp1","Viburnum","opulus","","yes","18","14","16","timeonly",31,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,31,"exp","exp","fldest",1831,95.3468886724268,"Viburnum_opulus",228,0.259079699672266,0.522249097258486,0.604387387090495,"Viburnum_opulus","nocrop",93
"2959","Viburnum_opulus","zohner16","exp1","Viburnum","opulus","","yes","18","14","16","timeonly",32.125,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,32.125,"exp","exp","fldest",2380,123.490985386386,"Viburnum_opulus",228,0.259079699672266,0.522249097258486,1.36099008351425,"Viburnum_opulus","nocrop",93
"2960","Viburnum_opulus","zohner16","exp1","Viburnum","opulus","","yes","18","14","8","timeonly",32.8601875,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,32.8601875,"exp","exp","fldest",1831,95.3468886724268,"Viburnum_opulus",228,0.0237125458429542,-1.00803446073276,0.604387387090495,"Viburnum_opulus","nocrop",93
"2961","Viburnum_opulus","zohner16","exp1","Viburnum","opulus","","yes","18","14","8","timeonly",33.387375,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,33.387375,"exp","exp","fldest",2380,123.490985386386,"Viburnum_opulus",228,0.0237125458429542,-1.00803446073276,1.36099008351425,"Viburnum_opulus","nocrop",93
"2962","Viburnum_opulus","zohner16","exp1","Viburnum","opulus","","yes","18","14","8","timeonly",40.7285,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,40.7285,"exp","exp","fldest",989,61.1148070881309,"Viburnum_opulus",228,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Viburnum_opulus","nocrop",93
"2850","Viburnum_betulifolium","zohner16","exp1","Viburnum","betulifolium","","yes","18","14","16","timeonly",36.6875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,36.6875,"exp","exp","fldest",989,61.1148070881309,"Viburnum_betulifolium",223,0.259079699672266,0.522249097258486,-0.164088760541305,"Viburnum_betulifolium","nocrop",94
"2851","Viburnum_betulifolium","zohner16","exp1","Viburnum","betulifolium","","yes","18","14","16","timeonly",30.0625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,30.0625,"exp","exp","fldest",1831,95.3468886724268,"Viburnum_betulifolium",223,0.259079699672266,0.522249097258486,0.604387387090495,"Viburnum_betulifolium","nocrop",94
"2852","Viburnum_betulifolium","zohner16","exp1","Viburnum","betulifolium","","yes","18","14","8","timeonly",47.866625,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,47.866625,"exp","exp","fldest",989,61.1148070881309,"Viburnum_betulifolium",223,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Viburnum_betulifolium","nocrop",94
"2853","Viburnum_betulifolium","zohner16","exp1","Viburnum","betulifolium","","yes","18","14","8","timeonly",30.3045625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,30.3045625,"exp","exp","fldest",1831,95.3468886724268,"Viburnum_betulifolium",223,0.0237125458429542,-1.00803446073276,0.604387387090495,"Viburnum_betulifolium","nocrop",94
"2966","Weigela_coraeensis","zohner16","exp1","Weigela","coraeensis","","yes","18","14","16","timeonly",23.4375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,23.4375,"exp","exp","fldest",989,61.1148070881309,"Weigela_coraeensis",231,0.259079699672266,0.522249097258486,-0.164088760541305,"Weigela_coraeensis","nocrop",95
"2967","Weigela_coraeensis","zohner16","exp1","Weigela","coraeensis","","yes","18","14","16","timeonly",17.9375,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,17.9375,"exp","exp","fldest",1831,95.3468886724268,"Weigela_coraeensis",231,0.259079699672266,0.522249097258486,0.604387387090495,"Weigela_coraeensis","nocrop",95
"2968","Weigela_coraeensis","zohner16","exp1","Weigela","coraeensis","","yes","18","14","16","timeonly",20.5,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,20.5,"exp","exp","fldest",2380,123.490985386386,"Weigela_coraeensis",231,0.259079699672266,0.522249097258486,1.36099008351425,"Weigela_coraeensis","nocrop",95
"2969","Weigela_coraeensis","zohner16","exp1","Weigela","coraeensis","","yes","18","14","8","timeonly",24.3125,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,24.3125,"exp","exp","fldest",989,61.1148070881309,"Weigela_coraeensis",231,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Weigela_coraeensis","nocrop",95
"2970","Weigela_coraeensis","zohner16","exp1","Weigela","coraeensis","","yes","18","14","8","timeonly",18.4375,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,18.4375,"exp","exp","fldest",1831,95.3468886724268,"Weigela_coraeensis",231,0.0237125458429542,-1.00803446073276,0.604387387090495,"Weigela_coraeensis","nocrop",95
"2971","Weigela_coraeensis","zohner16","exp1","Weigela","coraeensis","","yes","18","14","8","timeonly",20.25,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,20.25,"exp","exp","fldest",2380,123.490985386386,"Weigela_coraeensis",231,0.0237125458429542,-1.00803446073276,1.36099008351425,"Weigela_coraeensis","nocrop",95
"2972","Weigela_florida","zohner16","exp1","Weigela","florida","","yes","18","14","16","timeonly",20.4375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,20.4375,"exp","exp","fldest",989,61.1148070881309,"Weigela_florida",232,0.259079699672266,0.522249097258486,-0.164088760541305,"Weigela_florida","nocrop",96
"2973","Weigela_florida","zohner16","exp1","Weigela","florida","","yes","18","14","16","timeonly",19.75,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,19.75,"exp","exp","fldest",1831,95.3468886724268,"Weigela_florida",232,0.259079699672266,0.522249097258486,0.604387387090495,"Weigela_florida","nocrop",96
"2974","Weigela_florida","zohner16","exp1","Weigela","florida","","yes","18","14","8","timeonly",19.6271875,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,19.6271875,"exp","exp","fldest",989,61.1148070881309,"Weigela_florida",232,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Weigela_florida","nocrop",96
"2975","Weigela_florida","zohner16","exp1","Weigela","florida","","yes","18","14","8","timeonly",20.5245625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,20.5245625,"exp","exp","fldest",1831,95.3468886724268,"Weigela_florida",232,0.0237125458429542,-1.00803446073276,0.604387387090495,"Weigela_florida","nocrop",96
"2976","Weigela_maximowiczii","zohner16","exp1","Weigela","maximowiczii","","yes","18","14","16","timeonly",39.5,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,39.5,"exp","exp","fldest",989,61.1148070881309,"Weigela_maximowiczii",233,0.259079699672266,0.522249097258486,-0.164088760541305,"Weigela_maximowiczii","nocrop",97
"2977","Weigela_maximowiczii","zohner16","exp1","Weigela","maximowiczii","","yes","18","14","16","timeonly",23.875,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,23.875,"exp","exp","fldest",1831,95.3468886724268,"Weigela_maximowiczii",233,0.259079699672266,0.522249097258486,0.604387387090495,"Weigela_maximowiczii","nocrop",97
"2978","Weigela_maximowiczii","zohner16","exp1","Weigela","maximowiczii","","yes","18","14","16","timeonly",23.5625,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,23.5625,"exp","exp","fldest",2380,123.490985386386,"Weigela_maximowiczii",233,0.259079699672266,0.522249097258486,1.36099008351425,"Weigela_maximowiczii","nocrop",97
"2979","Weigela_maximowiczii","zohner16","exp1","Weigela","maximowiczii","","yes","18","14","8","timeonly",36.5,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,36.5,"exp","exp","fldest",989,61.1148070881309,"Weigela_maximowiczii",233,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Weigela_maximowiczii","nocrop",97
"2980","Weigela_maximowiczii","zohner16","exp1","Weigela","maximowiczii","","yes","18","14","8","timeonly",25.625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,25.625,"exp","exp","fldest",1831,95.3468886724268,"Weigela_maximowiczii",233,0.0237125458429542,-1.00803446073276,0.604387387090495,"Weigela_maximowiczii","nocrop",97
"2981","Weigela_maximowiczii","zohner16","exp1","Weigela","maximowiczii","","yes","18","14","8","timeonly",23,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,23,"exp","exp","fldest",2380,123.490985386386,"Weigela_maximowiczii",233,0.0237125458429542,-1.00803446073276,1.36099008351425,"Weigela_maximowiczii","nocrop",97
"1626","Heptacodium_miconioides","zohner16","exp1","Heptacodium","miconioides","","yes","18","14","16","timeonly",14.1875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,14.1875,"exp","exp","fldest",989,61.1148070881309,"Heptacodium_miconioides",91,0.259079699672266,0.522249097258486,-0.164088760541305,"Heptacodium_miconioides","nocrop",98
"1627","Heptacodium_miconioides","zohner16","exp1","Heptacodium","miconioides","","yes","18","14","16","timeonly",19.75,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,19.75,"exp","exp","fldest",1831,95.3468886724268,"Heptacodium_miconioides",91,0.259079699672266,0.522249097258486,0.604387387090495,"Heptacodium_miconioides","nocrop",98
"1628","Heptacodium_miconioides","zohner16","exp1","Heptacodium","miconioides","","yes","18","14","8","timeonly",15.117625,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,15.117625,"exp","exp","fldest",989,61.1148070881309,"Heptacodium_miconioides",91,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Heptacodium_miconioides","nocrop",98
"1629","Heptacodium_miconioides","zohner16","exp1","Heptacodium","miconioides","","yes","18","14","8","timeonly",20.5245625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,20.5245625,"exp","exp","fldest",1831,95.3468886724268,"Heptacodium_miconioides",91,0.0237125458429542,-1.00803446073276,0.604387387090495,"Heptacodium_miconioides","nocrop",98
"2553","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","8","timeonly",18,2239,"","110","14-Mar-2012",48.403008,11.711811,7,8,7.50625,18,"ramped","exp","fldest",2239,103.547699511753,"Symphoricarpos_albus",202,-1.44733216559024,-1.00803446073276,0.804257149092585,"Symphoricarpos_albus","nocrop",99
"2554","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","12","timeonly",18,2239,"","110","14-Mar-2012",48.403008,11.711811,7,12,7.50625,18,"ramped","exp","fldest",2239,103.547699511753,"Symphoricarpos_albus",202,-1.44733216559024,-0.242892681737139,0.804257149092585,"Symphoricarpos_albus","nocrop",99
"2555","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","16","timeonly",18,2239,"","110","14-Mar-2012",48.403008,11.711811,7,16,7.50625,18,"ramped","exp","fldest",2239,103.547699511753,"Symphoricarpos_albus",202,-1.44733216559024,0.522249097258486,0.804257149092585,"Symphoricarpos_albus","nocrop",99
"2556","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","8","timeonly",33,1003,"","33","14-Dec-2011",48.403008,11.711811,7,8,3.61875,33,"ramped","exp","fldest",1003,51.6913728053825,"Symphoricarpos_albus",202,-1.44733216559024,-1.00803446073276,-0.426623959474744,"Symphoricarpos_albus","nocrop",99
"2557","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","12","timeonly",30,1003,"","33","14-Dec-2011",48.403008,11.711811,7,12,3.61875,30,"ramped","exp","fldest",1003,51.6913728053825,"Symphoricarpos_albus",202,-1.44733216559024,-0.242892681737139,-0.426623959474744,"Symphoricarpos_albus","nocrop",99
"2558","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","16","timeonly",30,1003,"","33","14-Dec-2011",48.403008,11.711811,7,16,3.61875,30,"ramped","exp","fldest",1003,51.6913728053825,"Symphoricarpos_albus",202,-1.44733216559024,0.522249097258486,-0.426623959474744,"Symphoricarpos_albus","nocrop",99
"2559","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","8","timeonly",19,1780,"","73","30-Jan-2012",48.403008,11.711811,7,8,5.82916666666667,19,"ramped","exp","fldest",1780,79.879632404017,"Symphoricarpos_albus",202,-1.44733216559024,-1.00803446073276,0.273250025621685,"Symphoricarpos_albus","nocrop",99
"2560","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","12","timeonly",17,1780,"","73","30-Jan-2012",48.403008,11.711811,7,12,5.82916666666667,17,"ramped","exp","fldest",1780,79.879632404017,"Symphoricarpos_albus",202,-1.44733216559024,-0.242892681737139,0.273250025621685,"Symphoricarpos_albus","nocrop",99
"2561","Symphoricarpos_albus","laube14a","exp1","Symphoricarpos","albus","","yes","7","","16","timeonly",18,1780,"","73","30-Jan-2012",48.403008,11.711811,7,16,5.82916666666667,18,"ramped","exp","fldest",1780,79.879632404017,"Symphoricarpos_albus",202,-1.44733216559024,0.522249097258486,0.273250025621685,"Symphoricarpos_albus","nocrop",99
"2562","Symphoricarpos_albus","laube14b","exp1","Symphoricarpos","albus","","yes","25.3","","16","timeonly",14.57,2044,"","","03-Mar-2012",48.403008,11.711811,25.3,16,6.72916666666667,14.57,"exp","exp","fldest",2044,95.9574954377482,"Symphoricarpos_albus",202,1.78308202071706,0.522249097258486,0.558212854614764,"Symphoricarpos_albus","nocrop",99
"2563","Symphoricarpos_albus","laube14b","exp1","Symphoricarpos","albus","","yes","25.3","","16","timeonly",8.96,2044,"","","03-Mar-2012",48.403008,11.711811,25.3,16,6.72916666666667,8.96,"exp","exp","fldest",2044,95.9574954377482,"Symphoricarpos_albus",202,1.78308202071706,0.522249097258486,0.558212854614764,"Symphoricarpos_albus","nocrop",99
"1775","Lonicera_maximowiczii","zohner16","exp1","Lonicera","maximowiczii","","yes","18","14","8","timeonly",8.5298125,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,8.5298125,"exp","exp","fldest",989,61.1148070881309,"Lonicera_maximowiczii",112,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Lonicera_maximowiczii","nocrop",100
"1776","Lonicera_maximowiczii","zohner16","exp1","Lonicera","maximowiczii","","yes","18","14","8","timeonly",12.322125,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,12.322125,"exp","exp","fldest",1831,95.3468886724268,"Lonicera_maximowiczii",112,0.0237125458429542,-1.00803446073276,0.604387387090495,"Lonicera_maximowiczii","nocrop",100
